src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
0,4,77,3,0,0,1,38.0
0,6,74,3,0,0,1,38.0
74,23,0,18,0,0,1,424.0
0,13,71,3,0,0,1,38.0
0,14,68,3,0,0,1,38.0
0,20,65,3,0,0,1,38.0
0,27,62,3,0,0,1,38.0
65,30,0,18,0,0,1,424.0
54,61,0,18,0,0,1,424.0
0,33,59,3,0,0,1,38.0
0,51,56,3,0,0,1,38.0
0,52,53,3,0,0,1,38.0
0,70,50,3,0,0,1,38.0
0,78,47,3,0,0,1,38.0
0,91,44,3,0,0,1,38.0
36,23,18,18,0,0,1,424.0
25,3,0,18,0,0,1,424.0
1,35,77,3,0,0,1,38.0
1,39,74,3,0,0,1,38.0
1,51,71,3,0,0,1,38.0
1,61,68,3,0,0,1,38.0
1,62,65,3,0,0,1,38.0
1,66,62,3,0,0,1,38.0
1,73,59,3,0,0,1,38.0
1,77,56,3,0,0,1,38.0
96,29,0,18,0,0,1,408.0
1,91,53,3,0,0,1,38.0
1,95,50,3,0,0,1,38.0
2,0,41,3,0,0,1,38.0
2,3,77,3,0,0,1,38.0
2,23,74,3,0,0,1,38.0
2,33,71,3,0,0,1,38.0
2,41,68,3,0,0,1,38.0
2,48,65,3,0,0,1,38.0
2,54,62,3,0,0,1,38.0
89,29,18,18,0,0,1,408.0
2,57,59,3,0,0,1,38.0
2,64,56,3,0,0,1,38.0
2,66,53,3,0,0,1,38.0
2,68,50,3,0,0,1,38.0
85,68,0,18,0,0,1,408.0
2,69,47,3,0,0,1,38.0
75,23,36,18,0,0,1,408.0
69,3,18,18,0,0,1,408.0
2,86,44,3,0,0,1,38.0
2,90,38,3,0,0,1,38.0
2,93,35,3,0,0,1,38.0
2,94,32,3,0,0,1,38.0
3,39,71,3,0,0,1,38.0
3,84,74,3,0,0,1,38.0
68,96,18,18,0,0,1,408.0
4,2,29,3,0,0,1,38.0
4,6,71,3,0,0,1,38.0
4,9,74,3,0,0,1,38.0
4,13,68,3,0,0,1,38.0
4,20,62,3,0,0,1,38.0
4,23,65,3,0,0,1,38.0
68,71,53,18,0,0,1,408.0
