src,dst,spec,slots_used,core_src,core_dst,tfk_slot
99,81,0,17,0,0,400.0
99,79,17,17,0,0,400.0
99,69,34,17,0,0,400.0
99,55,51,17,0,0,400.0
99,40,0,17,1,0,400.0
99,35,17,17,1,0,400.0
99,19,34,17,1,0,400.0
0,2,0,3,0,0,50.0
98,78,0,17,0,0,400.0
98,62,17,17,0,0,400.0
98,30,34,17,0,0,400.0
0,3,3,3,0,0,50.0
98,28,51,17,0,0,400.0
98,13,0,17,1,0,400.0
98,2,17,17,1,0,400.0
0,4,6,3,0,0,50.0
97,92,0,17,0,0,400.0
97,86,17,17,0,0,400.0
97,76,34,17,0,0,400.0
0,5,9,3,0,0,50.0
97,71,51,17,0,0,400.0
97,70,0,17,1,0,400.0
97,41,17,17,1,0,400.0
97,40,34,17,1,0,400.0
97,22,51,17,1,0,400.0
97,10,0,17,2,0,400.0
0,8,12,3,0,0,50.0
97,3,17,17,2,0,400.0
96,99,51,17,0,1,400.0
96,98,34,17,0,1,400.0
96,94,0,17,0,0,400.0
96,91,17,17,0,0,400.0
96,60,0,17,1,0,400.0
96,51,17,17,1,0,400.0
96,30,51,17,1,0,400.0
96,24,34,17,1,0,400.0
0,11,15,3,0,0,50.0
0,20,18,3,0,0,50.0
0,21,21,3,0,0,50.0
96,15,0,17,2,0,400.0
95,92,17,17,0,0,400.0
95,81,34,17,0,0,400.0
95,75,0,17,0,0,400.0
95,69,51,17,0,0,400.0
95,57,0,17,1,0,400.0
95,50,17,17,1,0,400.0
95,47,34,17,1,0,400.0
95,46,51,17,1,0,400.0
95,39,0,17,2,0,400.0
95,22,17,17,2,0,400.0
95,18,34,17,2,0,400.0
94,96,17,17,0,2,400.0
94,35,34,17,0,0,400.0
0,25,24,3,0,0,50.0
94,15,51,17,0,0,400.0
94,6,0,17,1,0,400.0
94,2,34,17,1,0,400.0
94,0,51,17,1,0,400.0
93,97,34,17,0,2,400.0
93,85,0,17,0,0,400.0
93,56,17,17,0,0,400.0
93,50,51,17,0,0,400.0
93,40,17,17,1,0,400.0
93,32,0,17,1,0,400.0
93,28,34,17,1,0,400.0
93,14,51,17,1,0,400.0
93,7,0,17,2,0,400.0
0,27,27,3,0,0,50.0
92,88,34,17,0,0,400.0
92,69,51,17,0,1,400.0
92,52,0,17,1,0,400.0
92,23,17,17,1,0,400.0
92,20,34,17,1,0,400.0
92,18,51,17,1,0,400.0
92,17,0,17,2,0,400.0
92,8,17,17,2,0,400.0
91,98,51,17,0,1,400.0
91,94,0,17,0,2,400.0
91,87,34,17,0,0,400.0
0,28,30,3,0,0,50.0
91,86,0,17,1,0,400.0
0,44,33,3,0,0,50.0
91,75,17,17,1,0,400.0
91,47,51,17,1,0,400.0
0,46,36,3,0,0,50.0
91,41,34,17,1,0,400.0
91,38,0,17,2,0,400.0
91,23,34,17,2,0,400.0
0,60,39,3,0,0,50.0
91,20,51,17,2,0,400.0
91,9,17,17,2,0,400.0
91,5,12,17,3,0,400.0
0,72,42,3,0,0,50.0
90,83,0,17,0,0,400.0
90,77,17,17,0,0,400.0
90,60,42,17,0,0,400.0
90,54,59,17,0,0,400.0
0,94,68,3,0,0,50.0
0,95,71,3,0,0,50.0
90,41,0,17,1,0,400.0
90,38,17,17,1,0,400.0
90,32,34,17,1,0,400.0
1,0,45,3,0,0,50.0
1,4,0,3,0,0,50.0
1,5,3,3,0,0,50.0
90,1,51,17,1,0,400.0
89,85,17,17,0,0,400.0
89,79,0,17,0,0,400.0
89,63,34,17,0,0,400.0
89,58,51,17,0,0,400.0
89,45,0,17,1,0,400.0
1,6,17,3,0,0,50.0
89,17,17,17,1,0,400.0
89,9,34,17,1,0,400.0
88,85,51,17,0,0,400.0
88,82,0,17,0,0,400.0
88,39,17,17,0,0,400.0
88,24,0,17,1,0,400.0
88,13,17,17,1,0,400.0
87,90,0,17,0,2,400.0
87,49,17,17,0,0,400.0
87,47,51,17,0,1,400.0
87,39,34,17,1,0,400.0
87,23,0,17,1,0,400.0
87,22,17,17,1,1,400.0
87,17,51,17,1,0,400.0
86,93,34,17,0,2,400.0
86,83,51,17,0,0,400.0
86,80,0,17,1,0,400.0
86,72,17,17,1,0,400.0
86,47,34,17,1,1,400.0
1,8,6,3,0,0,50.0
86,46,51,17,1,1,400.0
86,41,51,17,2,0,400.0
86,36,0,17,2,0,400.0
86,12,17,17,2,0,400.0
86,4,34,17,2,0,400.0
85,87,34,17,0,2,400.0
85,57,17,17,1,0,400.0
85,49,0,17,1,0,400.0
85,46,34,17,1,1,400.0
85,45,51,17,1,0,400.0
85,33,0,17,2,0,400.0
85,13,34,17,2,0,400.0
85,8,51,17,2,0,400.0
85,0,17,17,2,1,400.0
84,98,0,17,0,2,400.0
1,9,9,3,0,0,50.0
1,11,12,3,0,0,50.0
1,12,34,3,0,0,50.0
84,96,34,17,0,2,400.0
84,91,51,17,0,3,400.0
84,89,17,17,0,2,400.0
84,76,0,17,1,0,400.0
84,54,17,17,1,0,400.0
84,51,34,17,1,0,400.0
84,50,51,17,1,1,400.0
84,29,0,17,2,0,400.0
1,13,68,3,0,0,50.0
1,19,20,3,0,0,50.0
84,14,17,17,2,0,400.0
84,7,34,17,2,0,400.0
83,92,34,17,0,2,400.0
83,87,17,17,0,2,400.0
83,81,17,17,1,0,400.0
83,80,34,17,1,0,400.0
83,77,0,17,1,0,400.0
83,68,51,17,1,0,400.0
83,64,0,17,2,0,400.0
83,63,17,17,2,0,400.0
83,56,34,17,2,0,400.0
83,29,51,17,2,0,400.0
83,15,17,17,3,0,400.0
83,1,0,17,3,1,400.0
82,99,17,17,0,2,400.0
82,92,51,17,0,2,400.0
82,88,34,17,0,1,400.0
1,20,23,3,0,0,50.0
82,85,0,17,1,3,400.0
82,83,34,17,1,3,400.0
82,71,17,17,1,0,400.0
82,64,51,17,1,0,400.0
82,58,0,17,2,0,400.0
1,26,26,3,0,0,50.0
82,51,51,17,2,0,400.0
82,34,17,17,2,0,400.0
82,12,34,17,2,1,400.0
82,3,34,17,3,0,400.0
81,95,51,17,0,2,400.0
81,93,17,17,1,2,400.0
81,64,34,17,1,0,400.0
81,54,0,17,1,0,400.0
81,46,51,17,1,2,400.0
1,28,71,3,0,0,50.0
81,36,17,17,2,0,400.0
81,28,0,17,2,0,400.0
1,30,29,3,0,0,50.0
81,18,34,17,2,1,400.0
80,94,17,17,0,1,400.0
80,67,51,17,0,0,400.0
80,56,0,17,1,0,400.0
80,51,17,17,1,1,400.0
80,27,34,17,1,0,400.0
79,94,34,17,0,2,400.0
79,88,51,17,0,1,400.0
79,67,0,17,1,0,400.0
79,52,17,17,1,0,400.0
1,33,37,3,0,0,50.0
79,51,34,17,1,1,400.0
79,31,51,17,1,0,400.0
79,24,17,17,2,0,400.0
79,6,34,17,2,0,400.0
79,5,51,17,2,0,400.0
78,96,51,17,0,2,400.0
78,85,17,17,0,3,400.0
78,81,34,17,0,3,400.0
78,75,34,17,1,0,400.0
78,74,0,17,1,0,400.0
78,70,17,17,1,0,400.0
78,39,51,17,1,0,400.0
78,37,0,17,2,0,400.0
78,36,34,17,2,0,400.0
78,29,17,17,2,0,400.0
78,19,51,17,2,0,400.0
78,17,34,17,3,0,400.0
1,45,40,3,0,0,50.0
77,88,34,17,0,2,400.0
1,83,74,3,0,0,50.0
77,63,51,17,0,0,400.0
77,47,0,17,1,0,400.0
1,94,77,3,0,0,50.0
2,4,3,3,0,0,50.0
77,43,17,17,1,0,400.0
77,21,34,17,1,0,400.0
77,0,51,17,1,1,400.0
76,87,51,17,0,2,400.0
76,72,17,17,0,1,400.0
76,63,0,17,1,0,400.0
76,55,17,17,1,0,400.0
76,52,34,17,1,0,400.0
76,49,51,17,1,0,400.0
76,39,0,17,2,1,400.0
76,10,17,17,2,0,400.0
75,93,51,17,0,2,400.0
75,91,29,17,1,3,400.0
2,5,6,3,0,0,50.0
75,88,0,17,1,2,400.0
75,87,46,17,1,3,400.0
75,73,63,17,1,0,400.0
75,53,0,17,2,0,400.0
75,42,17,17,2,0,400.0
75,29,34,17,2,0,400.0
75,11,51,17,2,0,400.0
75,6,51,17,3,0,400.0
2,6,68,3,0,0,50.0
75,4,9,17,3,0,400.0
74,97,51,17,0,2,400.0
74,81,17,17,0,3,400.0
74,63,34,17,0,1,400.0
74,62,0,17,1,0,400.0
74,60,17,17,1,0,400.0
2,9,12,3,0,0,50.0
74,44,36,17,1,0,400.0
74,26,53,17,1,0,400.0
2,12,9,3,0,0,50.0
74,15,34,17,2,0,400.0
74,10,51,17,2,0,400.0
