src,dst,spec,slots_used,core_src,core_dst,tfk_slot
97,46,0,5,0,0,397.6
93,87,0,5,0,0,400.8
89,84,0,5,0,0,399.2
89,42,5,5,0,0,400.8
86,51,0,5,0,0,400.8
86,46,5,5,0,0,400.8
86,26,10,5,0,0,397.6
83,2,0,5,0,0,402.4
79,71,0,5,0,0,399.2
78,85,0,5,0,0,397.6
71,14,5,5,0,0,399.2
71,9,10,5,0,0,399.2
66,89,10,5,0,0,397.6
65,63,0,5,0,0,402.4
59,56,0,5,0,0,400.8
57,40,0,5,0,0,402.4
55,44,0,5,0,0,397.6
53,40,5,5,0,0,399.2
49,67,0,5,0,0,400.8
48,8,0,5,0,0,397.6
48,1,5,5,0,0,397.6
39,97,5,5,0,0,397.6
35,89,15,5,0,0,399.2
34,26,0,5,0,0,400.8
34,24,5,5,0,0,400.8
34,15,10,5,0,0,400.8
31,85,5,5,0,0,400.8
31,2,10,5,0,0,399.2
28,7,0,5,0,0,400.8
25,19,0,5,0,0,400.8
25,2,5,5,0,0,400.8
22,58,0,5,0,0,399.2
22,13,5,5,0,0,399.2
19,44,5,5,0,0,402.4
17,13,0,5,0,0,400.8
15,90,0,5,0,0,402.4
14,78,10,5,0,0,400.8
11,71,15,5,0,0,399.2
9,36,0,5,0,0,399.2
8,64,5,5,0,0,397.6
8,58,10,5,0,0,397.6
7,28,5,5,0,0,399.2
7,4,10,5,0,0,400.8
1,81,0,5,0,0,400.8
0,9,5,5,0,0,400.8
99,98,0,2,0,0,47.6
99,94,2,2,0,0,47.6
99,93,5,2,0,0,47.6
99,83,7,2,0,0,47.6
99,79,9,2,0,0,47.6
99,78,15,2,0,0,47.6
99,74,11,2,0,0,47.6
99,67,13,2,0,0,47.6
99,64,17,2,0,0,47.6
99,63,19,2,0,0,47.6
99,61,21,2,0,0,47.6
99,55,23,2,0,0,47.6
99,51,25,2,0,0,47.6
99,50,27,2,0,0,47.6
99,44,29,2,0,0,47.6
99,43,31,2,0,0,47.6
99,42,33,2,0,0,47.6
99,41,35,2,0,0,47.6
99,40,37,2,0,0,47.6
99,38,39,2,0,0,47.6
99,36,41,2,0,0,47.6
99,34,43,2,0,0,47.6
99,29,45,2,0,0,47.6
99,28,47,2,0,0,47.6
99,27,49,2,0,0,47.6
99,25,51,2,0,0,47.6
99,21,53,2,0,0,47.6
99,19,55,2,0,0,47.6
99,9,57,2,0,0,47.6
99,8,59,2,0,0,47.6
98,91,2,2,0,0,47.6
98,88,4,2,0,0,47.6
98,87,6,2,0,0,47.6
98,76,8,2,0,0,47.6
98,66,15,2,0,0,47.6
98,64,10,2,0,0,47.6
98,57,12,2,0,0,47.6
98,55,17,2,0,0,47.6
98,54,19,2,0,0,47.6
98,33,21,2,0,0,47.6
98,31,23,2,0,0,47.6
98,26,25,2,0,0,47.6
98,25,27,2,0,0,47.6
98,19,29,2,0,0,47.6
98,18,31,2,0,0,47.6
98,17,33,2,0,0,47.6
98,5,35,2,0,0,47.6
97,96,10,2,0,0,47.6
97,90,12,2,0,0,47.6
97,89,20,2,0,0,47.6
97,72,14,2,0,0,47.6
97,70,16,2,0,0,47.6
97,62,18,2,0,0,47.6
97,60,22,2,0,0,47.6
97,51,27,2,0,0,47.6
97,45,24,2,0,0,47.6
97,37,29,2,0,0,47.6
97,36,31,2,0,0,47.6
97,28,33,2,0,0,47.6
97,13,35,2,0,0,47.6
97,1,37,2,0,0,47.6
96,99,61,2,0,0,47.6
96,88,0,2,0,0,47.6
96,87,8,2,0,0,47.6
96,85,12,2,0,0,47.6
96,84,5,2,0,0,47.6
96,81,14,2,0,0,47.6
96,78,17,2,0,0,47.6
96,69,2,2,0,0,47.6
96,61,19,2,0,0,47.6
96,56,21,2,0,0,47.6
96,55,25,2,0,0,47.6
96,49,23,2,0,0,47.6
96,46,27,2,0,0,47.6
96,41,29,2,0,0,47.6
96,31,31,2,0,0,47.6
96,26,33,2,0,0,47.6
96,18,35,2,0,0,47.6
96,17,37,2,0,0,47.6
96,16,39,2,0,0,47.6
96,8,41,2,0,0,47.6
96,5,43,2,0,0,47.6
96,0,45,2,0,0,47.6
95,89,22,2,0,0,47.6
95,88,2,2,0,0,47.6
95,86,15,2,0,0,47.6
95,85,10,2,0,0,47.6
95,84,7,2,0,0,47.6
95,83,5,2,0,0,47.6
95,79,12,2,0,0,47.6
95,78,19,2,0,0,47.6
95,73,0,2,0,0,47.6
95,58,17,2,0,0,47.6
95,52,24,2,0,0,47.6
95,51,29,2,0,0,47.6
95,47,26,2,0,0,47.6
95,44,31,2,0,0,47.6
95,41,33,2,0,0,47.6
95,40,35,2,0,0,47.6
95,38,37,2,0,0,47.6
95,37,39,2,0,0,47.6
95,35,41,2,0,0,47.6
95,33,43,2,0,0,47.6
95,31,45,2,0,0,47.6
95,30,47,2,0,0,47.6
95,29,49,2,0,0,47.6
95,28,51,2,0,0,47.6
95,27,53,2,0,0,47.6
95,12,55,2,0,0,47.6
95,5,57,2,0,0,47.6
95,1,59,2,0,0,47.6
95,0,61,2,0,0,47.6
94,98,37,2,0,0,47.6
94,96,47,2,0,0,47.6
94,92,0,2,0,0,47.6
94,90,5,2,0,0,47.6
94,87,10,2,0,0,47.6
94,86,17,2,0,0,47.6
94,84,12,2,0,0,47.6
94,83,14,2,0,0,47.6
94,79,7,2,0,0,47.6
94,74,19,2,0,0,47.6
94,71,21,2,0,0,47.6
94,66,23,2,0,0,47.6
94,45,26,2,0,0,47.6
94,44,33,2,0,0,47.6
94,39,28,2,0,0,47.6
94,35,30,2,0,0,47.6
94,30,35,2,0,0,47.6
94,23,39,2,0,0,47.6
94,22,41,2,0,0,47.6
94,20,43,2,0,0,47.6
94,19,45,2,0,0,47.6
94,9,49,2,0,0,47.6
94,7,51,2,0,0,47.6
93,90,7,2,0,0,47.6
93,82,9,2,0,0,47.6
93,81,11,2,0,0,47.6
93,80,13,2,0,0,47.6
93,79,15,2,0,0,47.6
