src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
88,74,0,18,0,0,1,424.0
0,8,77,3,0,0,1,38.0
0,9,74,3,0,0,1,38.0
0,15,71,3,0,0,1,38.0
0,23,68,3,0,0,1,38.0
0,24,65,3,0,0,1,38.0
0,26,62,3,0,0,1,38.0
80,92,0,18,0,0,1,424.0
0,32,59,3,0,0,1,38.0
0,34,56,3,0,0,1,38.0
0,37,53,3,0,0,1,38.0
0,40,50,3,0,0,1,38.0
73,20,0,18,0,0,1,424.0
0,41,47,3,0,0,1,38.0
61,88,18,18,0,0,1,424.0
0,47,44,3,0,0,1,38.0
59,69,0,18,0,0,1,424.0
0,49,41,3,0,0,1,38.0
0,63,38,3,0,0,1,38.0
0,64,35,3,0,0,1,38.0
0,65,32,3,0,0,1,38.0
0,82,29,3,0,0,1,38.0
53,77,0,18,0,0,1,424.0
51,15,0,18,0,0,1,424.0
0,83,26,3,0,0,1,38.0
0,89,23,3,0,0,1,38.0
0,91,20,3,0,0,1,38.0
0,93,17,3,0,0,1,38.0
46,59,18,18,0,0,1,424.0
45,69,18,18,0,0,1,424.0
0,94,14,3,0,0,1,38.0
13,61,0,18,0,0,1,424.0
0,99,11,3,0,0,1,38.0
1,5,77,3,0,0,1,38.0
1,8,74,3,0,0,1,38.0
1,21,71,3,0,0,1,38.0
1,29,68,3,0,0,1,38.0
13,40,18,18,0,0,1,424.0
4,43,0,18,0,0,1,424.0
1,33,65,3,0,0,1,38.0
1,39,62,3,0,0,1,38.0
74,54,18,18,0,0,1,408.0
1,41,59,3,0,0,1,38.0
72,54,0,18,0,0,1,408.0
61,72,36,18,0,0,1,408.0
1,46,56,3,0,0,1,38.0
1,52,53,3,0,0,1,38.0
33,72,18,18,0,0,1,408.0
1,54,50,3,0,0,1,38.0
1,64,47,3,0,0,1,38.0
1,71,44,3,0,0,1,38.0
1,72,41,3,0,1,1,38.0
26,57,0,18,0,0,1,408.0
1,76,38,3,0,0,1,38.0
26,21,18,18,0,0,1,408.0
1,82,35,3,0,0,1,38.0
1,85,32,3,0,0,1,38.0
1,91,29,3,0,0,1,38.0
21,4,36,18,0,0,1,408.0
2,9,77,3,0,0,1,38.0
2,14,74,3,0,0,1,38.0
2,19,71,3,0,0,1,38.0
2,34,68,3,0,0,1,38.0
71,92,18,17,0,0,1,392.0
2,49,65,3,0,0,1,38.0
70,55,0,17,0,0,1,392.0
2,70,62,3,0,0,1,38.0
2,97,59,3,0,0,1,38.0
70,26,36,17,0,0,1,392.0
2,98,56,3,0,0,1,38.0
62,57,18,17,0,0,1,392.0
3,4,77,3,0,0,1,38.0
56,69,36,17,0,0,1,392.0
54,38,53,17,0,0,1,392.0
51,74,36,17,0,0,1,392.0
3,20,74,3,0,0,1,38.0
3,27,71,3,0,0,1,38.0
3,41,68,3,0,0,1,38.0
38,21,0,17,0,0,1,392.0
3,44,65,3,0,0,1,38.0
3,47,62,3,0,0,1,38.0
28,5,0,17,0,0,1,392.0
