src,dst,spec,slots_used,core_src,core_dst,tfk_slot
99,24,0,20,0,0,474.0
97,76,0,20,0,0,474.0
97,35,20,20,0,0,474.0
0,34,0,2,0,0,13.0
96,43,0,20,0,0,474.0
0,38,2,2,0,0,13.0
0,54,4,2,0,0,13.0
0,59,6,2,0,0,13.0
0,68,8,2,0,0,13.0
94,21,0,20,0,0,474.0
92,32,0,20,0,0,474.0
0,85,10,2,0,0,13.0
0,88,12,2,0,0,13.0
90,69,0,20,0,0,474.0
0,89,14,2,0,0,13.0
90,68,20,20,0,0,474.0
0,91,16,2,0,0,13.0
0,92,20,2,0,0,13.0
88,17,14,20,0,0,474.0
1,3,0,2,0,0,13.0
1,9,2,2,0,0,13.0
86,94,20,20,0,0,474.0
83,33,0,20,0,0,474.0
1,10,4,2,0,0,13.0
1,36,6,2,0,0,13.0
82,19,0,20,0,0,474.0
1,37,8,2,0,0,13.0
1,40,10,2,0,0,13.0
1,45,12,2,0,0,13.0
1,58,14,2,0,0,13.0
1,70,16,2,0,0,13.0
76,7,20,20,0,0,474.0
76,6,40,20,0,0,474.0
1,82,20,2,0,0,13.0
75,60,0,20,0,0,474.0
1,84,18,2,0,0,13.0
74,35,0,20,0,0,474.0
2,17,0,2,0,0,13.0
2,28,2,2,0,0,13.0
2,45,4,2,0,0,13.0
74,13,20,20,0,0,474.0
73,48,0,20,0,0,474.0
72,9,4,20,0,0,474.0
2,52,6,2,0,0,13.0
70,84,20,20,0,0,474.0
69,85,20,20,0,0,474.0
68,78,40,20,0,0,474.0
2,54,8,2,0,0,13.0
2,59,10,2,0,0,13.0
2,66,12,2,0,0,13.0
2,67,14,2,0,0,13.0
2,75,20,2,0,0,13.0
66,22,14,20,0,0,474.0
65,53,0,20,0,0,474.0
61,40,12,20,0,0,474.0
61,37,32,20,0,0,474.0
61,19,52,20,0,0,474.0
59,95,12,20,0,0,474.0
57,40,32,20,0,0,474.0
54,87,10,20,0,0,474.0
2,96,22,2,0,0,13.0
3,6,2,2,0,0,13.0
54,78,60,20,0,0,474.0
3,18,4,2,0,0,13.0
53,43,20,20,0,0,474.0
3,31,6,2,0,0,13.0
3,33,20,2,0,0,13.0
53,8,40,20,0,0,474.0
52,23,8,20,0,0,474.0
52,21,28,20,0,0,474.0
3,41,8,2,0,0,13.0
3,42,10,2,0,0,13.0
51,85,40,20,0,0,474.0
3,45,14,2,0,0,13.0
3,63,12,2,0,0,13.0
3,66,34,2,0,0,13.0
3,70,18,2,0,0,13.0
51,2,60,20,0,0,474.0
50,18,6,20,0,0,474.0
50,2,26,20,0,0,474.0
3,71,16,2,0,0,13.0
3,82,22,2,0,0,13.0
39,12,0,20,0,0,474.0
3,92,24,2,0,0,13.0
35,42,40,20,0,0,474.0
4,1,22,2,0,0,13.0
4,5,0,2,0,0,13.0
4,7,2,2,0,0,13.0
31,34,8,20,0,0,474.0
4,15,4,2,0,0,13.0
26,67,16,20,0,0,474.0
4,16,6,2,0,0,13.0
25,46,0,20,0,0,474.0
22,28,34,20,0,0,474.0
21,16,48,20,0,0,474.0
4,22,8,2,0,0,13.0
20,38,4,20,0,0,474.0
4,39,20,2,0,0,13.0
15,84,40,20,0,0,474.0
4,42,12,2,0,0,13.0
14,79,0,20,0,0,474.0
4,55,10,2,0,0,13.0
4,58,16,2,0,0,13.0
4,59,32,2,0,0,13.0
13,47,0,20,0,0,474.0
4,68,14,2,0,0,13.0
11,38,24,20,0,0,474.0
4,69,40,2,0,0,13.0
4,71,18,2,0,0,13.0
