src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
98,29,0,20,0,0,1,460.0
97,85,0,20,0,0,1,460.0
0,10,78,2,0,0,1,20.0
1,8,78,2,0,0,1,20.0
90,49,0,20,0,0,1,460.0
90,0,20,20,0,0,1,460.0
1,87,76,2,0,0,1,20.0
88,71,0,20,0,0,1,460.0
2,74,78,2,0,0,1,20.0
3,62,78,2,0,0,1,20.0
3,73,76,2,0,0,1,20.0
3,95,74,2,0,0,1,20.0
88,45,20,20,0,0,1,460.0
3,98,72,2,0,0,1,20.0
4,5,78,2,0,0,1,20.0
87,14,0,20,0,0,1,460.0
86,91,0,20,0,0,1,460.0
4,9,76,2,0,0,1,20.0
86,36,20,20,0,0,1,460.0
86,5,40,20,0,0,1,460.0
85,75,20,20,0,0,1,460.0
85,43,40,20,0,0,1,460.0
85,24,60,20,0,0,1,460.0
4,17,74,2,0,0,1,20.0
4,93,72,2,0,0,1,20.0
6,51,78,2,0,0,1,20.0
83,97,20,20,0,0,1,460.0
83,77,0,20,0,0,1,460.0
83,43,60,20,0,0,1,460.0
6,77,76,2,0,0,1,20.0
6,98,74,2,0,0,1,20.0
82,90,40,20,0,0,1,460.0
82,69,0,20,0,0,1,460.0
8,43,38,2,0,0,1,20.0
78,34,0,20,0,0,1,460.0
8,64,76,2,0,0,1,20.0
76,84,0,20,0,0,1,460.0
76,57,20,20,0,0,1,460.0
72,75,0,20,0,0,1,460.0
72,53,20,20,0,0,1,460.0
72,50,40,20,0,0,1,460.0
72,41,60,20,0,0,1,460.0
9,12,78,2,0,0,1,20.0
9,35,74,2,0,0,1,20.0
70,60,0,20,0,0,1,460.0
69,27,20,20,0,0,1,460.0
69,19,40,20,0,0,1,460.0
9,99,72,2,0,0,1,20.0
10,26,76,2,0,0,1,20.0
68,23,0,20,0,0,1,460.0
10,31,74,2,0,0,1,20.0
10,52,72,2,0,0,1,20.0
66,24,0,20,0,0,1,460.0
65,25,0,20,0,0,1,460.0
10,91,70,2,0,0,1,20.0
64,93,0,20,0,0,1,460.0
64,49,20,20,0,0,1,460.0
11,19,78,2,0,0,1,20.0
64,19,40,20,0,1,1,460.0
11,52,76,2,0,0,1,20.0
11,65,74,2,0,0,1,20.0
58,77,20,20,0,0,1,460.0
58,45,0,20,0,0,1,460.0
56,91,20,20,0,0,1,460.0
11,93,70,2,0,0,1,20.0
11,99,68,2,0,0,1,20.0
56,47,0,20,0,0,1,460.0
55,72,0,20,0,1,1,460.0
54,25,20,20,0,0,1,460.0
53,71,40,20,0,0,1,460.0
53,20,0,20,0,0,1,460.0
12,17,76,2,0,0,1,20.0
12,33,74,2,0,0,1,20.0
12,39,72,2,0,0,1,20.0
13,2,76,2,0,0,1,20.0
13,32,78,2,0,0,1,20.0
52,70,20,20,0,0,1,460.0
50,36,0,20,0,0,1,460.0
13,66,74,2,0,0,1,20.0
48,93,20,20,0,0,1,460.0
14,49,78,2,0,0,1,20.0
15,8,74,2,0,0,1,20.0
15,17,78,2,0,0,1,20.0
47,42,20,20,0,0,1,460.0
44,89,0,20,0,0,1,460.0
15,26,72,2,0,0,1,20.0
44,37,20,20,0,0,1,460.0
15,60,76,2,0,0,1,20.0
43,55,0,20,0,1,1,460.0
16,15,70,2,0,0,1,20.0
43,48,0,20,1,0,1,460.0
16,19,76,2,0,0,1,20.0
16,34,78,2,0,0,1,20.0
42,9,0,20,0,0,1,460.0
16,46,74,2,0,0,1,20.0
16,58,72,2,0,0,1,20.0
41,69,0,20,0,1,1,460.0
16,72,68,2,0,1,1,20.0
41,51,20,20,0,0,1,460.0
41,34,40,20,0,0,1,460.0
36,82,60,20,0,0,1,460.0
17,8,72,2,0,0,1,20.0
36,49,40,20,0,0,1,460.0
35,92,0,20,0,0,1,460.0
17,69,70,2,0,0,1,20.0
34,85,20,20,0,1,1,460.0
19,4,70,2,0,0,1,20.0
32,85,0,20,0,1,1,460.0
19,39,74,2,0,0,1,20.0
19,68,72,2,0,0,1,20.0
32,81,20,20,0,0,1,460.0
19,80,68,2,0,0,1,20.0
29,64,20,20,0,1,1,460.0
20,16,66,2,0,0,1,20.0
25,92,40,20,0,0,1,460.0
25,90,60,20,0,0,1,460.0
25,7,0,20,1,0,1,460.0
20,52,78,2,0,0,1,20.0
20,91,76,2,0,0,1,20.0
21,29,78,2,0,0,1,20.0
24,93,40,20,0,0,1,460.0
21,31,76,2,0,0,1,20.0
21,91,74,2,0,0,1,20.0
23,68,78,2,0,0,1,20.0
23,95,76,2,0,0,1,20.0
24,16,38,2,0,0,1,20.0
24,29,36,2,0,1,1,20.0
24,39,34,2,0,0,1,20.0
24,59,32,2,0,0,1,20.0
24,57,0,20,1,0,1,460.0
25,13,72,2,1,0,1,20.0
23,27,40,20,0,0,1,460.0
25,73,78,2,1,0,1,20.0
26,31,78,2,0,0,1,20.0
22,54,0,20,0,0,1,460.0
26,65,70,2,0,0,1,20.0
21,93,0,20,0,1,1,460.0
26,80,74,2,0,0,1,20.0
