src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
93,57,0,21,0,0,1,498.0
33,21,0,21,0,0,1,498.0
51,40,0,21,0,0,1,497.0
36,55,0,21,0,0,1,497.0
38,54,76,4,0,0,1,52.5
23,77,0,21,0,0,1,497.0
14,94,0,21,0,0,1,497.0
77,72,21,21,0,0,1,496.0
88,56,0,21,0,0,1,495.0
97,95,0,21,0,0,1,494.0
88,16,21,21,0,0,1,494.0
41,44,0,21,0,0,1,494.0
69,48,0,21,0,0,1,492.0
71,40,76,4,0,0,1,54.0
61,95,21,21,0,0,1,492.0
57,35,21,21,0,0,1,492.0
52,84,0,21,0,0,1,492.0
89,22,0,21,0,0,1,491.0
78,67,0,21,0,0,1,491.0
59,45,0,21,0,0,1,491.0
68,83,76,4,0,0,1,57.0
93,9,21,21,0,0,1,490.0
72,93,42,21,0,0,1,489.0
86,75,0,21,0,0,1,488.0
74,81,0,21,0,0,1,488.0
69,47,21,21,0,0,1,488.0
46,91,0,21,0,0,1,488.0
21,12,21,21,0,0,1,488.0
3,34,0,21,0,0,1,488.0
21,53,42,21,0,0,1,487.0
33,85,21,21,0,0,1,486.0
21,18,0,21,1,0,1,486.0
99,22,21,21,0,0,1,485.0
52,45,21,21,0,0,1,485.0
40,36,21,21,0,0,1,485.0
21,81,21,21,1,0,1,485.0
15,37,0,21,0,0,1,485.0
35,1,76,4,0,0,1,58.5
83,56,21,21,0,0,1,484.0
80,68,0,21,0,0,1,484.0
51,30,21,21,0,0,1,484.0
46,44,21,21,0,0,1,484.0
68,89,72,4,0,0,1,58.5
85,97,42,21,0,0,1,483.0
1,86,72,4,0,0,1,60.0
91,50,21,21,0,0,1,482.0
80,92,21,21,0,0,1,482.0
79,52,42,21,0,0,1,482.0
38,71,72,4,0,0,1,60.0
75,87,21,21,0,0,1,482.0
60,39,0,21,0,0,1,482.0
57,69,42,21,0,0,1,482.0
1,38,0,21,0,0,1,482.0
91,59,42,21,0,0,1,481.0
48,53,21,21,0,0,1,480.0
85,98,0,21,0,0,1,479.0
52,92,0,21,1,0,1,479.0
50,41,42,21,0,0,1,479.0
72,35,0,21,0,0,1,478.0
69,90,0,21,1,0,1,478.0
63,84,21,21,0,0,1,478.0
36,75,42,21,0,0,1,478.0
28,4,0,21,0,0,1,478.0
93,68,68,4,0,0,1,60.0
70,62,76,4,0,0,1,61.5
16,87,0,21,0,0,1,478.0
94,83,42,21,0,0,1,477.0
23,95,42,21,0,0,1,477.0
4,90,21,21,0,0,1,477.0
91,56,42,21,1,0,1,476.0
58,51,42,21,0,0,1,476.0
57,49,0,21,1,0,1,476.0
49,13,21,21,0,0,1,476.0
1,75,68,4,0,0,1,64.5
27,52,21,21,0,1,1,476.0
32,10,76,4,0,0,1,64.5
63,35,72,4,0,0,1,64.5
3,9,42,21,0,0,1,476.0
98,49,42,20,0,0,1,475.0
94,95,21,20,0,1,1,475.0
42,11,0,20,0,0,1,475.0
87,24,42,20,0,0,1,474.0
87,4,42,20,1,0,1,474.0
84,66,42,20,0,0,1,474.0
59,73,21,20,0,0,1,474.0
41,54,21,20,0,0,1,474.0
36,58,0,20,1,0,1,474.0
80,4,42,20,0,1,1,473.0
58,81,20,20,0,1,1,473.0
51,82,0,20,1,0,1,473.0
46,49,42,20,0,1,1,473.0
28,94,21,20,0,1,1,473.0
98,62,21,20,0,0,1,472.0
63,60,42,20,0,0,1,472.0
50,65,0,20,0,0,1,472.0
48,56,42,20,0,1,1,472.0
22,51,42,20,0,1,1,472.0
68,38,64,4,0,0,1,64.5
22,26,0,20,1,0,1,472.0
22,0,20,20,1,0,1,472.0
92,64,42,20,0,0,1,471.0
86,69,21,20,0,1,1,471.0
86,32,41,20,0,0,1,471.0
80,56,0,20,1,1,1,471.0
64,97,21,20,0,0,1,471.0
78,62,72,4,0,0,1,64.5
57,70,21,20,1,0,1,471.0
29,53,0,20,0,0,1,471.0
7,25,0,20,0,0,1,471.0
7,22,40,20,0,1,1,471.0
92,8,0,20,1,0,1,470.0
51,91,20,20,1,1,1,470.0
37,66,21,20,0,0,1,470.0
27,37,42,20,0,0,1,470.0
14,7,60,20,0,0,1,470.0
4,62,68,4,0,0,1,66.0
19,47,76,4,0,0,1,66.0
9,31,0,20,0,0,1,470.0
4,32,0,20,1,0,1,470.0
73,87,0,20,0,1,1,469.0
72,60,21,20,1,0,1,469.0
65,29,20,20,0,0,1,469.0
64,25,0,20,0,1,1,469.0
63,30,0,20,0,0,1,469.0
61,85,0,20,0,1,1,469.0
61,8,42,20,0,0,1,469.0
52,17,42,20,1,0,1,469.0
81,73,42,20,0,0,1,468.0
67,28,41,20,0,0,1,468.0
65,99,42,20,0,0,1,468.0
61,24,0,20,1,0,1,468.0
92,78,21,20,1,0,1,467.0
67,22,21,20,0,2,1,467.0
44,40,42,20,0,0,1,467.0
12,45,42,20,0,0,1,467.0
47,77,42,20,0,0,1,466.0
31,87,20,20,0,1,1,466.0
14,53,21,20,0,1,1,466.0
88,37,42,20,0,1,1,465.0
87,29,40,20,2,0,1,465.0
84,91,0,20,1,1,1,465.0
23,24,76,4,0,0,1,66.0
78,58,41,20,0,1,1,465.0
