src,dst,spec,slots_used,core_src,core_dst,tfk_slot
0,10,0,3,0,0,38.0
0,54,3,3,0,0,38.0
0,92,6,3,0,0,38.0
0,98,9,3,0,0,38.0
1,8,0,3,0,0,38.0
1,10,3,3,0,0,38.0
1,16,6,3,0,0,38.0
1,34,9,3,0,0,38.0
1,45,12,3,0,0,38.0
98,29,12,18,0,0,424.0
1,47,15,3,0,0,38.0
1,56,18,3,0,0,38.0
1,58,21,3,0,0,38.0
1,61,24,3,0,0,38.0
90,0,12,18,0,0,424.0
1,75,27,3,0,0,38.0
1,76,30,3,0,0,38.0
1,78,33,3,0,0,38.0
1,80,36,3,0,0,38.0
1,87,39,3,0,0,38.0
1,92,42,3,0,0,38.0
2,6,0,3,0,0,38.0
2,10,6,3,0,0,38.0
2,15,3,3,0,0,38.0
2,16,9,3,0,0,38.0
2,43,12,3,0,0,38.0
2,53,15,3,0,0,38.0
2,54,18,3,0,0,38.0
2,63,21,3,0,0,38.0
2,72,24,3,0,0,38.0
2,74,27,3,0,0,38.0
2,86,30,3,0,0,38.0
3,21,0,3,0,0,38.0
3,37,3,3,0,0,38.0
3,53,6,3,0,0,38.0
87,14,0,18,0,0,424.0
69,19,0,18,0,0,424.0
56,91,0,18,0,0,424.0
36,49,0,18,0,0,424.0
3,55,9,3,0,0,38.0
3,62,12,3,0,0,38.0
3,63,15,3,0,0,38.0
3,67,18,3,0,0,38.0
3,73,21,3,0,0,38.0
17,39,0,18,0,0,424.0
11,54,21,18,0,0,424.0
3,77,24,3,0,0,38.0
3,90,30,3,0,0,38.0
3,95,27,3,0,0,38.0
3,97,33,3,0,0,38.0
3,98,36,3,0,0,38.0
4,5,0,3,0,0,38.0
5,29,30,18,0,0,424.0
4,9,3,3,0,0,38.0
93,91,18,18,0,0,408.0
91,45,36,18,0,0,408.0
4,17,18,3,0,0,38.0
4,27,6,3,0,0,38.0
4,32,9,3,0,0,38.0
91,39,54,18,0,0,408.0
4,40,12,3,0,0,38.0
4,42,15,3,0,0,38.0
4,43,21,3,0,0,38.0
4,93,36,3,0,0,38.0
81,80,0,18,0,0,408.0
80,31,18,18,0,0,408.0
74,56,30,18,0,0,408.0
5,38,3,3,0,0,38.0
6,3,39,3,0,0,38.0
63,31,36,18,0,0,408.0
6,10,9,3,0,0,38.0
60,80,39,18,0,0,408.0
53,87,18,18,0,0,408.0
53,59,36,18,0,0,408.0
6,12,3,3,0,0,38.0
51,62,15,18,0,0,408.0
6,15,6,3,0,0,38.0
6,18,12,3,0,0,38.0
6,34,15,3,0,0,38.0
6,51,33,3,0,0,38.0
6,57,18,3,0,0,38.0
33,98,39,18,0,0,408.0
33,59,0,18,0,0,408.0
6,60,21,3,0,0,38.0
6,61,27,3,0,0,38.0
29,93,48,18,0,0,408.0
6,67,24,3,0,0,38.0
17,87,42,18,0,0,408.0
6,69,30,3,0,0,38.0
6,76,36,3,0,0,38.0
6,77,42,3,0,0,38.0
6,80,57,3,0,0,38.0
6,84,45,3,0,0,38.0
8,19,18,18,0,0,408.0
3,87,60,18,0,0,408.0
2,17,60,18,0,0,408.0
0,49,30,18,0,0,408.0
6,89,48,3,0,0,38.0
6,98,60,3,0,0,38.0
7,21,3,3,0,0,38.0
7,23,0,3,0,0,38.0
92,90,45,17,0,0,392.0
85,46,0,17,0,0,392.0
7,42,6,3,0,0,38.0
7,59,18,3,0,0,38.0
7,67,9,3,0,0,38.0
77,65,0,17,0,0,392.0
69,51,36,17,0,0,392.0
68,26,0,17,0,0,392.0
7,69,21,3,0,0,38.0
7,88,12,3,0,0,38.0
65,51,53,17,0,0,392.0
64,81,18,17,0,0,392.0
63,17,54,17,0,1,392.0
8,2,36,3,0,0,38.0
8,15,9,3,0,0,38.0
8,18,3,3,0,0,38.0
8,43,6,3,0,0,38.0
58,51,0,17,0,1,392.0
8,61,12,3,0,0,38.0
8,64,15,3,0,0,38.0
52,81,35,17,0,0,392.0
8,97,39,3,0,0,38.0
9,8,42,3,0,0,38.0
9,12,0,3,0,0,38.0
51,66,17,17,1,0,392.0
9,16,12,3,0,0,38.0
9,20,6,3,0,0,38.0
9,35,9,3,0,0,38.0
9,68,17,3,0,0,38.0
9,99,20,3,0,0,38.0
51,0,48,17,1,0,392.0
10,6,51,3,0,0,38.0
50,39,18,17,0,0,392.0
49,66,48,17,0,0,392.0
10,24,12,3,0,0,38.0
10,26,17,3,0,0,38.0
49,38,6,17,1,0,392.0
10,31,54,3,0,0,38.0
45,92,15,17,0,0,392.0
44,93,0,17,0,0,392.0
10,38,23,3,0,0,38.0
10,42,20,3,0,0,38.0
10,44,26,3,0,0,38.0
10,46,29,3,0,0,38.0
10,52,32,3,0,0,38.0
