src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
99,96,0,17,0,0,1,400.0
99,78,17,17,0,0,1,400.0
99,68,34,17,0,0,1,400.0
0,1,77,3,0,0,1,50.0
99,49,51,17,0,0,1,400.0
99,29,0,17,1,0,1,400.0
99,21,17,17,1,0,1,400.0
99,15,34,17,1,0,1,400.0
0,2,74,3,0,0,1,50.0
99,14,51,17,1,0,1,400.0
0,3,71,3,0,0,1,50.0
99,2,0,17,2,0,1,400.0
98,71,0,17,0,0,1,400.0
98,47,17,17,0,0,1,400.0
97,83,0,17,0,0,1,400.0
97,64,17,17,0,0,1,400.0
97,63,34,17,0,0,1,400.0
97,58,51,17,0,0,1,400.0
97,43,0,17,1,0,1,400.0
97,33,17,17,1,0,1,400.0
97,31,34,17,1,0,1,400.0
97,30,51,17,1,0,1,400.0
97,21,0,17,2,0,1,400.0
97,14,17,17,2,0,1,400.0
97,2,34,17,2,0,1,400.0
96,85,17,17,0,0,1,400.0
96,83,34,17,0,0,1,400.0
96,62,51,17,0,0,1,400.0
96,21,34,17,1,0,1,400.0
96,14,0,17,1,0,1,400.0
95,86,0,17,0,0,1,400.0
95,74,17,17,0,0,1,400.0
95,73,34,17,0,0,1,400.0
95,50,51,17,0,0,1,400.0
95,48,0,17,1,0,1,400.0
95,41,17,17,1,0,1,400.0
95,37,34,17,1,0,1,400.0
95,14,51,17,1,1,1,400.0
95,2,17,17,2,0,1,400.0
94,82,0,17,0,0,1,400.0
94,81,17,17,0,0,1,400.0
94,60,34,17,0,0,1,400.0
94,58,51,17,0,1,1,400.0
94,51,0,17,1,0,1,400.0
94,29,17,17,1,0,1,400.0
94,9,34,17,1,0,1,400.0
94,7,51,17,1,0,1,400.0
94,0,0,17,2,0,1,400.0
93,85,0,17,0,0,1,400.0
93,73,17,17,0,0,1,400.0
93,36,34,17,0,0,1,400.0
93,30,51,17,0,1,1,400.0
93,28,0,17,1,0,1,400.0
92,87,0,17,0,0,1,400.0
92,81,34,17,0,0,1,400.0
92,65,17,17,0,0,1,400.0
92,64,51,17,0,0,1,400.0
92,59,0,17,1,0,1,400.0
92,58,17,17,1,0,1,400.0
92,52,34,17,1,0,1,400.0
92,41,51,17,1,0,1,400.0
91,96,17,17,0,1,1,400.0
91,90,0,17,0,0,1,400.0
91,79,34,17,0,0,1,400.0
91,63,51,17,0,0,1,400.0
91,49,0,17,1,0,1,400.0
91,29,34,17,1,0,1,400.0
91,24,17,17,1,0,1,400.0
91,23,51,17,1,0,1,400.0
91,17,0,17,2,0,1,400.0
90,95,34,17,0,2,1,400.0
90,89,17,17,0,0,1,400.0
90,87,51,17,0,0,1,400.0
90,79,0,17,1,0,1,400.0
90,75,17,17,1,0,1,400.0
90,61,34,17,1,0,1,400.0
90,55,51,17,1,0,1,400.0
90,54,0,17,2,0,1,400.0
90,46,17,17,2,0,1,400.0
90,32,34,17,2,0,1,400.0
90,19,51,17,2,0,1,400.0
90,14,34,17,3,0,1,400.0
89,96,51,17,0,1,1,400.0
89,92,0,17,0,2,1,400.0
89,79,34,17,0,1,1,400.0
89,77,0,17,1,0,1,400.0
89,69,17,17,1,0,1,400.0
89,56,34,17,1,0,1,400.0
89,52,51,17,1,0,1,400.0
89,29,51,17,2,0,1,400.0
89,24,0,17,2,0,1,400.0
89,10,17,17,2,0,1,400.0
88,94,17,17,0,2,1,400.0
88,83,51,17,0,0,1,400.0
88,75,0,17,0,0,1,400.0
88,70,34,17,0,0,1,400.0
88,68,0,17,1,0,1,400.0
88,46,34,17,1,0,1,400.0
88,44,17,17,1,0,1,400.0
88,36,51,17,1,0,1,400.0
88,9,0,17,2,0,1,400.0
88,7,17,17,2,0,1,400.0
87,72,17,17,0,0,1,400.0
87,57,34,17,0,0,1,400.0
87,36,0,17,1,0,1,400.0
87,19,17,17,1,0,1,400.0
86,87,34,17,0,1,1,400.0
86,80,17,17,0,0,1,400.0
86,61,51,17,0,0,1,400.0
0,4,68,3,0,0,1,50.0
86,58,0,17,1,0,1,400.0
86,49,17,17,1,0,1,400.0
0,5,65,3,0,0,1,50.0
86,45,34,17,1,0,1,400.0
86,36,51,17,1,1,1,400.0
86,33,0,17,2,0,1,400.0
85,89,34,17,0,2,1,400.0
85,67,51,17,0,0,1,400.0
85,63,0,17,1,0,1,400.0
85,54,17,17,1,0,1,400.0
85,49,34,17,1,0,1,400.0
85,47,51,17,1,0,1,400.0
85,46,0,17,2,0,1,400.0
85,35,17,17,2,0,1,400.0
85,20,34,17,2,0,1,400.0
84,59,17,17,0,0,1,400.0
84,45,0,17,0,0,1,400.0
84,34,34,17,0,0,1,400.0
84,22,51,17,0,0,1,400.0
0,8,62,3,0,0,1,50.0
84,17,17,17,1,0,1,400.0
84,13,0,17,1,0,1,400.0
83,77,17,17,0,0,1,400.0
83,56,0,17,1,0,1,400.0
83,41,34,17,1,0,1,400.0
83,28,17,17,1,0,1,400.0
83,23,51,17,1,1,1,400.0
83,11,0,17,2,0,1,400.0
83,10,34,17,2,0,1,400.0
82,56,17,17,0,0,1,400.0
82,46,51,17,0,0,1,400.0
82,40,34,17,0,0,1,400.0
81,93,51,17,0,1,1,400.0
81,52,0,17,0,0,1,400.0
81,37,0,17,1,0,1,400.0
81,24,34,17,1,0,1,400.0
81,23,17,17,1,0,1,400.0
81,11,51,17,1,0,1,400.0
81,3,0,17,2,0,1,400.0
81,2,51,17,2,0,1,400.0
80,92,34,17,0,2,1,400.0
80,90,0,17,0,3,1,400.0
80,66,51,17,0,0,1,400.0
80,55,0,17,1,0,1,400.0
80,42,17,17,1,0,1,400.0
80,37,51,17,1,0,1,400.0
80,32,34,17,1,1,1,400.0
80,2,0,17,2,1,1,400.0
80,0,17,17,2,0,1,400.0
79,90,17,17,0,3,1,400.0
79,74,51,17,0,0,1,400.0
79,40,0,17,1,0,1,400.0
79,25,17,17,1,0,1,400.0
79,15,51,17,1,0,1,400.0
78,96,0,17,0,2,1,400.0
78,94,34,17,0,2,1,400.0
78,82,51,17,0,1,1,400.0
78,80,34,17,1,2,1,400.0
78,75,51,17,1,0,1,400.0
78,70,0,17,1,0,1,400.0
78,33,17,17,1,1,1,400.0
78,5,0,17,2,0,1,400.0
77,97,51,17,0,2,1,400.0
0,11,48,3,0,0,1,50.0
