src,dst,spec,slots_used,core_src,core_dst,tfk_slot
0,3,0,3,0,0,38.0
97,1,0,18,0,0,424.0
90,77,0,18,0,0,424.0
0,18,3,3,0,0,38.0
86,65,0,18,0,0,424.0
77,47,18,18,0,0,424.0
0,26,6,3,0,0,38.0
0,37,9,3,0,0,38.0
0,39,12,3,0,0,38.0
0,42,15,3,0,0,38.0
72,90,18,18,0,0,424.0
0,45,18,3,0,0,38.0
0,51,21,3,0,0,38.0
0,54,24,3,0,0,38.0
0,55,27,3,0,0,38.0
0,59,30,3,0,0,38.0
0,70,33,3,0,0,38.0
0,74,36,3,0,0,38.0
0,79,39,3,0,0,38.0
0,91,42,3,0,0,38.0
0,98,45,3,0,0,38.0
58,15,0,18,0,0,424.0
1,13,18,3,0,0,38.0
1,42,21,3,0,0,38.0
1,49,24,3,0,0,38.0
1,93,27,3,0,0,38.0
1,94,30,3,0,0,38.0
2,6,0,3,0,0,38.0
57,50,0,18,0,0,424.0
45,88,0,18,0,0,424.0
2,7,3,3,0,0,38.0
2,18,6,3,0,0,38.0
2,24,9,3,0,0,38.0
24,58,18,18,0,0,424.0
2,29,12,3,0,0,38.0
2,31,15,3,0,0,38.0
2,39,18,3,0,0,38.0
2,74,21,3,0,0,38.0
2,87,24,3,0,0,38.0
3,27,3,3,0,0,38.0
3,52,6,3,0,0,38.0
3,55,9,3,0,0,38.0
3,63,12,3,0,0,38.0
3,68,15,3,0,0,38.0
14,15,18,18,0,0,424.0
3,72,36,3,0,0,38.0
10,24,36,18,0,0,424.0
3,99,18,3,0,0,38.0
9,36,0,18,0,0,424.0
4,2,27,3,0,0,38.0
4,5,0,3,0,0,38.0
4,8,3,3,0,0,38.0
6,1,33,18,0,0,424.0
4,20,6,3,0,0,38.0
97,15,36,18,0,0,408.0
4,21,9,3,0,0,38.0
92,86,18,18,0,0,408.0
4,25,12,3,0,0,38.0
4,38,15,3,0,0,38.0
4,39,21,3,0,0,38.0
88,60,18,18,0,0,408.0
86,78,36,18,0,0,408.0
4,45,24,3,0,0,38.0
79,98,0,18,0,0,408.0
4,48,18,3,0,0,38.0
4,55,30,3,0,0,38.0
78,81,0,18,0,0,408.0
4,56,33,3,0,0,38.0
4,68,36,3,0,0,38.0
4,71,39,3,0,0,38.0
72,29,39,18,0,0,408.0
4,76,42,3,0,0,38.0
4,82,45,3,0,0,38.0
58,47,36,18,0,0,408.0
4,87,48,3,0,0,38.0
4,88,51,3,0,0,38.0
4,99,54,3,0,0,38.0
5,2,30,3,0,0,38.0
50,99,21,18,0,0,408.0
5,8,6,3,0,0,38.0
5,13,3,3,0,0,38.0
5,18,9,3,0,0,38.0
47,5,54,18,0,0,408.0
45,49,27,18,0,0,408.0
5,34,12,3,0,0,38.0
44,37,12,18,0,0,408.0
5,53,15,3,0,0,38.0
5,64,18,3,0,0,38.0
5,69,21,3,0,0,38.0
5,71,24,3,0,0,38.0
5,74,27,3,0,0,38.0
5,86,72,3,0,0,38.0
5,87,33,3,0,0,38.0
5,89,36,3,0,0,38.0
5,96,39,3,0,0,38.0
6,9,18,3,0,0,38.0
6,27,6,3,0,0,38.0
6,42,3,3,0,0,38.0
6,47,9,3,0,0,38.0
40,3,39,18,0,0,408.0
6,49,12,3,0,0,38.0
30,47,0,18,0,1,408.0
29,92,57,18,0,0,408.0
6,51,15,3,0,0,38.0
6,65,21,3,0,0,38.0
6,71,27,3,0,0,38.0
6,77,51,3,0,0,38.0
6,86,54,3,0,0,38.0
6,94,24,3,0,0,38.0
28,78,18,18,0,0,408.0
7,3,21,3,0,0,38.0
27,8,9,18,0,0,408.0
7,5,42,3,0,0,38.0
16,93,0,18,0,0,408.0
7,10,0,3,0,0,38.0
7,17,6,3,0,0,38.0
7,20,9,3,0,0,38.0
7,24,12,3,0,0,38.0
16,49,45,18,0,0,408.0
16,34,18,18,0,0,408.0
7,26,15,3,0,0,38.0
7,30,18,3,0,0,38.0
7,35,24,3,0,0,38.0
6,60,57,18,0,0,408.0
7,41,27,3,0,0,38.0
2,9,33,18,0,0,408.0
99,18,57,17,0,0,392.0
7,45,45,3,0,0,38.0
7,56,30,3,0,0,38.0
7,58,54,3,0,0,38.0
7,71,33,3,0,0,38.0
7,75,36,3,0,0,38.0
98,23,18,17,0,0,392.0
7,83,39,3,0,0,38.0
7,84,48,3,0,0,38.0
7,86,57,3,0,0,38.0
8,15,54,3,0,0,38.0
8,32,0,3,0,0,38.0
8,52,27,3,0,0,38.0
8,70,30,3,0,0,38.0
9,11,21,3,0,0,38.0
9,21,24,3,0,0,38.0
91,8,57,17,0,0,392.0
86,39,24,17,1,0,392.0
9,26,27,3,0,0,38.0
9,27,30,3,0,0,38.0
86,18,0,17,1,1,392.0
85,24,54,17,0,0,392.0
9,44,51,3,0,0,38.0
9,58,57,3,0,0,38.0
79,67,18,17,0,0,392.0
75,49,63,17,0,0,392.0
9,65,54,3,0,0,38.0
9,80,60,3,0,0,38.0
74,78,54,17,0,0,392.0
60,50,39,17,0,0,392.0
9,88,63,3,0,0,38.0
9,99,74,3,0,0,38.0
60,40,0,17,0,0,392.0
60,29,15,17,1,0,392.0
56,36,36,17,0,0,392.0
10,70,3,3,0,0,38.0
11,2,51,3,0,0,38.0
11,5,45,3,0,0,38.0
11,10,6,3,0,0,38.0
53,57,18,17,0,0,392.0
11,16,36,3,0,0,38.0
11,24,0,3,0,0,38.0
53,56,53,17,0,0,392.0
50,24,56,17,0,1,392.0
45,56,48,17,0,1,392.0
11,26,3,3,0,0,38.0
11,27,27,3,0,0,38.0
11,38,9,3,0,0,38.0
45,19,0,17,1,0,392.0
11,40,17,3,0,0,38.0
11,45,65,3,0,0,38.0
11,48,12,3,0,0,38.0
40,56,20,17,0,1,392.0
11,49,24,3,0,1,38.0
11,56,70,3,0,0,38.0
