src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
0,4,77,3,0,0,1,38.0
0,14,74,3,0,0,1,38.0
0,23,71,3,0,0,1,38.0
84,29,0,18,0,0,1,424.0
0,30,68,3,0,0,1,38.0
0,36,65,3,0,0,1,38.0
0,47,62,3,0,0,1,38.0
82,48,0,18,0,0,1,424.0
0,48,59,3,0,0,1,38.0
76,63,0,18,0,0,1,424.0
0,50,56,3,0,0,1,38.0
0,77,53,3,0,0,1,38.0
0,80,50,3,0,0,1,38.0
0,95,47,3,0,0,1,38.0
0,97,44,3,0,0,1,38.0
1,2,77,3,0,0,1,38.0
1,7,74,3,0,0,1,38.0
1,51,71,3,0,0,1,38.0
76,1,18,18,0,0,1,424.0
1,61,68,3,0,0,1,38.0
1,63,65,3,0,0,1,38.0
2,7,71,3,0,0,1,38.0
72,16,0,18,0,0,1,424.0
2,14,68,3,0,0,1,38.0
2,29,74,3,0,0,1,38.0
2,41,65,3,0,0,1,38.0
2,53,62,3,0,0,1,38.0
2,66,59,3,0,0,1,38.0
2,67,56,3,0,0,1,38.0
2,89,53,3,0,0,1,38.0
2,93,50,3,0,0,1,38.0
2,96,47,3,0,0,1,38.0
3,7,77,3,0,0,1,38.0
3,10,74,3,0,0,1,38.0
3,13,71,3,0,0,1,38.0
3,14,65,3,0,0,1,38.0
3,16,68,3,0,0,1,38.0
3,19,62,3,0,0,1,38.0
3,34,59,3,0,0,1,38.0
69,70,0,18,0,0,1,424.0
3,42,56,3,0,0,1,38.0
64,82,18,18,0,0,1,424.0
53,97,0,18,0,0,1,424.0
3,43,53,3,0,0,1,38.0
3,44,50,3,0,0,1,38.0
3,45,47,3,0,0,1,38.0
3,57,44,3,0,0,1,38.0
51,1,0,18,0,0,1,424.0
3,61,41,3,0,0,1,38.0
3,63,38,3,0,0,1,38.0
3,66,35,3,0,0,1,38.0
3,69,32,3,0,0,1,38.0
50,18,0,18,0,0,1,424.0
3,70,29,3,0,0,1,38.0
3,74,26,3,0,0,1,38.0
3,76,23,3,0,1,1,38.0
