src,dst,spec,slots_used,core_src,core_dst,tfk_slot
98,56,0,5,0,0,399.2
98,0,5,5,0,0,400.8
97,40,0,5,0,0,399.2
97,36,5,5,0,0,400.8
96,64,0,5,0,0,399.2
95,68,0,5,0,0,400.8
95,65,5,5,0,0,400.8
95,34,10,5,0,0,400.8
95,31,15,5,0,0,402.4
95,29,20,5,0,0,399.2
95,2,25,5,0,0,399.2
94,18,0,5,0,0,400.8
93,20,0,5,0,0,400.8
92,63,0,5,0,0,400.8
92,59,5,5,0,0,397.6
92,50,10,5,0,0,400.8
92,28,15,5,0,0,397.6
91,88,0,5,0,0,399.2
91,67,5,5,0,0,400.8
91,58,10,5,0,0,402.4
91,57,15,5,0,0,402.4
91,52,20,5,0,0,399.2
91,44,25,5,0,0,397.6
91,19,30,5,0,0,399.2
90,13,0,5,0,0,397.6
89,54,0,5,0,0,399.2
89,31,5,5,0,0,397.6
89,27,10,5,0,0,400.8
88,50,5,5,0,0,397.6
88,33,10,5,0,0,397.6
88,31,20,5,0,0,397.6
88,29,15,5,0,0,399.2
88,19,25,5,0,0,399.2
88,8,30,5,0,0,400.8
87,45,0,5,0,0,400.8
86,45,5,5,0,0,400.8
86,22,0,5,0,0,402.4
85,46,0,5,0,0,400.8
85,11,5,5,0,0,397.6
84,65,0,5,0,0,400.8
84,10,5,5,0,0,402.4
83,91,35,5,0,0,402.4
82,54,5,5,0,0,399.2
81,66,0,5,0,0,399.2
81,3,5,5,0,0,399.2
80,84,10,5,0,0,400.8
80,20,5,5,0,0,400.8
79,96,5,5,0,0,400.8
79,85,10,5,0,0,397.6
79,15,0,5,0,0,402.4
78,96,10,5,0,0,400.8
78,66,5,5,0,0,400.8
78,64,15,5,0,0,402.4
78,45,20,5,0,0,397.6
77,46,5,5,0,0,400.8
77,23,0,5,0,0,399.2
77,19,10,5,0,0,400.8
77,14,15,5,0,0,399.2
76,66,10,5,0,0,399.2
75,77,20,5,0,0,400.8
74,19,0,5,0,0,397.6
73,76,0,5,0,0,400.8
72,70,0,5,0,0,402.4
72,40,5,5,0,0,402.4
71,98,10,5,0,0,399.2
71,95,30,5,0,0,399.2
70,4,5,5,0,0,399.2
69,62,0,5,0,0,399.2
68,32,5,5,0,0,397.6
68,28,10,5,0,0,402.4
66,62,15,5,0,0,402.4
66,39,20,5,0,0,399.2
66,25,25,5,0,0,400.8
66,17,30,5,0,0,399.2
62,93,5,5,0,0,397.6
62,91,40,5,0,0,400.8
62,0,10,5,0,0,399.2
60,62,20,5,0,0,399.2
59,63,10,5,0,0,399.2
58,26,0,5,0,0,399.2
57,85,20,5,0,0,399.2
57,74,5,5,0,0,400.8
56,99,5,5,0,0,400.8
56,77,25,5,0,0,402.4
56,51,10,5,0,0,399.2
56,18,15,5,0,0,399.2
55,89,15,5,0,0,399.2
55,6,0,5,0,0,399.2
54,40,10,5,0,0,397.6
54,9,15,5,0,0,399.2
53,58,5,5,0,0,399.2
52,88,35,5,0,0,399.2
52,40,15,5,0,0,402.4
52,23,5,5,0,0,400.8
52,22,10,5,0,0,399.2
51,92,20,5,0,0,400.8
51,90,5,5,0,0,399.2
51,89,25,5,0,0,402.4
51,72,15,5,0,0,402.4
51,17,0,5,0,0,399.2
51,9,30,5,0,0,397.6
50,97,15,5,0,0,397.6
50,62,25,5,0,0,400.8
50,54,20,5,0,0,397.6
50,25,0,5,0,0,400.8
49,58,15,5,0,0,399.2
48,61,0,5,0,0,399.2
48,14,5,5,0,0,400.8
47,13,5,5,0,0,402.4
46,68,15,5,0,0,400.8
45,81,10,5,0,0,399.2
44,24,0,5,0,0,399.2
44,4,10,5,0,0,402.4
43,95,35,5,0,0,400.8
43,90,10,5,0,0,400.8
43,44,5,5,0,0,402.4
43,33,0,5,0,0,399.2
43,15,15,5,0,0,402.4
42,94,5,5,0,0,399.2
42,34,0,5,0,0,399.2
41,88,40,5,0,0,397.6
41,8,0,5,0,0,397.6
40,53,20,5,0,0,399.2
40,35,25,5,0,0,400.8
39,98,15,5,0,0,402.4
39,52,0,5,0,0,402.4
39,13,10,5,0,0,400.8
38,89,20,5,0,0,399.2
38,87,5,5,0,0,400.8
38,40,30,5,0,0,399.2
36,98,20,5,0,0,397.6
36,88,45,5,0,0,397.6
36,60,0,5,0,0,397.6
34,86,15,5,0,0,399.2
34,48,20,5,0,0,400.8
34,27,5,5,0,0,399.2
33,47,15,5,0,0,400.8
33,11,20,5,0,0,399.2
33,8,5,5,0,0,402.4
32,84,15,5,0,0,399.2
32,26,10,5,0,0,402.4
32,18,20,5,0,0,397.6
32,17,25,5,0,0,400.8
32,12,0,5,0,0,400.8
31,43,25,5,0,0,399.2
31,14,0,5,0,0,400.8
30,34,25,5,0,0,399.2
30,0,0,5,0,0,399.2
29,61,5,5,0,0,402.4
27,92,25,5,0,0,400.8
27,65,15,5,0,0,400.8
27,52,30,5,0,0,402.4
27,26,20,5,0,0,400.8
27,18,35,5,0,0,400.8
26,67,15,5,0,0,400.8
26,49,5,5,0,0,400.8
26,25,30,5,0,0,400.8
25,13,15,5,0,0,397.6
25,10,10,5,0,0,400.8
23,85,15,5,0,0,397.6
23,10,20,5,0,0,400.8
22,92,30,5,0,0,402.4
21,83,0,5,0,0,399.2
21,71,5,5,0,0,399.2
21,57,10,5,0,0,400.8
21,42,15,5,0,0,402.4
20,62,30,5,0,0,402.4
16,59,0,5,0,0,399.2
16,2,5,5,0,0,400.8
15,11,10,5,0,0,397.6
14,93,10,5,0,0,400.8
14,25,20,5,0,0,400.8
13,80,20,5,0,0,397.6
13,66,35,5,0,0,397.6
13,37,25,5,0,0,400.8
13,8,40,5,0,0,397.6
12,95,40,5,0,0,399.2
12,11,15,5,0,0,402.4
11,65,25,5,0,0,400.8
11,36,30,5,0,0,399.2
11,23,35,5,0,0,400.8
11,22,40,5,0,0,400.8
9,32,35,5,0,0,400.8
9,12,5,5,0,0,402.4
7,9,0,5,0,0,399.2
6,7,5,5,0,0,400.8
5,21,20,5,0,0,400.8
4,34,30,5,0,0,399.2
4,29,0,5,0,0,400.8
3,8,10,5,0,0,399.2
2,52,40,5,0,0,397.6
1,63,5,5,0,0,397.6
1,9,10,5,0,0,400.8
99,96,15,2,0,0,47.6
99,95,45,2,0,0,47.6
99,82,0,2,0,0,47.6
99,73,10,2,0,0,47.6
99,57,2,2,0,0,47.6
99,40,35,2,0,0,47.6
99,39,25,2,0,0,47.6
99,35,12,2,0,0,47.6
99,20,17,2,0,0,47.6
99,16,19,2,0,0,47.6
99,8,21,2,0,0,47.6
99,4,23,2,0,0,47.6
98,86,25,2,0,0,47.6
98,83,27,2,0,0,47.6
98,44,30,2,0,0,47.6
98,41,32,2,0,0,47.6
98,30,34,2,0,0,47.6
98,24,36,2,0,0,47.6
98,13,45,2,0,0,47.6
98,10,38,2,0,0,47.6
97,95,47,2,0,0,47.6
97,88,50,2,0,0,47.6
97,67,10,2,0,0,47.6
97,60,12,2,0,0,47.6
97,1,20,2,0,0,47.6
96,99,27,2,0,0,47.6
96,98,40,2,0,0,47.6
96,93,17,2,0,0,47.6
96,92,35,2,0,0,47.6
96,85,25,2,0,0,47.6
