src,dst,spec,slots_used,core_src,core_dst,tfk_slot
66,19,0,19,0,0,436.0
4,95,0,2,0,0,14.0
35,48,0,19,0,0,436.0
25,11,0,2,0,0,14.0
29,34,0,2,0,0,14.0
58,26,0,19,0,0,432.0
57,18,0,19,0,0,432.0
43,2,0,2,0,0,14.0
43,41,2,2,0,0,14.0
47,59,0,2,0,0,14.0
49,53,0,2,0,0,14.0
52,35,19,2,0,0,14.0
53,17,2,2,0,0,14.0
66,9,19,2,0,0,14.0
48,84,19,19,0,0,432.0
37,86,0,19,0,0,432.0
67,2,2,2,0,0,14.0
71,25,2,19,0,0,428.0
67,79,0,2,0,0,14.0
48,67,38,19,0,0,428.0
76,12,0,2,0,0,14.0
77,64,0,2,0,0,14.0
33,54,0,19,0,0,428.0
21,71,21,19,0,0,428.0
81,60,0,18,0,0,424.0
71,14,40,18,0,0,424.0
59,96,2,18,0,0,424.0
85,43,4,2,0,0,14.0
99,91,0,2,0,0,14.0
15,42,0,18,0,0,424.0
96,82,20,18,0,0,420.0
13,5,0,2,0,0,18.5
13,44,2,2,0,0,18.5
13,90,4,2,0,0,18.5
18,28,19,2,0,0,18.5
18,52,21,2,0,0,18.5
18,81,23,2,0,0,18.5
92,37,19,18,0,0,420.0
18,95,25,2,0,0,18.5
50,17,4,18,0,0,420.0
25,7,21,2,0,0,18.5
26,69,19,2,0,0,18.5
29,28,2,2,0,0,18.5
29,76,4,2,0,0,18.5
41,99,4,18,0,0,420.0
37,53,37,18,0,0,420.0
30,41,0,2,0,0,18.5
30,81,18,2,0,0,18.5
35,67,57,18,0,0,420.0
39,80,0,2,0,0,18.5
40,22,0,2,0,0,18.5
49,81,20,2,0,0,18.5
53,11,4,2,0,0,18.5
58,6,19,2,0,0,18.5
62,15,18,2,0,0,18.5
62,44,0,2,0,0,18.5
89,58,21,18,0,0,416.0
65,40,2,2,0,0,18.5
67,38,4,2,0,0,18.5
68,36,0,2,0,0,18.5
68,64,2,2,0,0,18.5
70,61,0,2,0,0,18.5
71,2,58,2,0,0,18.5
73,45,0,2,0,0,18.5
83,61,2,2,0,0,18.5
84,21,0,2,0,0,18.5
84,36,2,2,0,0,18.5
88,22,2,2,0,0,18.5
92,6,0,2,0,0,18.5
99,92,2,2,0,0,18.5
85,59,20,18,0,0,416.0
2,5,4,2,0,0,23.0
3,83,0,2,0,0,23.0
73,79,2,18,0,0,416.0
4,19,19,2,0,0,23.0
36,8,4,18,0,0,416.0
6,79,21,2,0,0,23.0
7,31,0,2,0,0,23.0
29,9,21,18,0,0,416.0
12,47,2,2,0,0,23.0
13,36,22,2,0,0,23.0
79,40,23,18,0,0,412.0
13,91,6,2,0,0,23.0
17,87,0,2,0,0,23.0
24,67,6,2,0,0,23.0
25,39,23,2,0,0,23.0
27,77,2,2,0,0,23.0
72,96,38,18,0,0,412.0
28,70,4,2,0,0,23.0
30,31,2,2,0,0,23.0
30,63,4,2,0,0,23.0
39,36,25,2,0,0,23.0
71,73,60,18,0,0,412.0
68,7,23,18,0,0,412.0
43,1,6,18,0,0,412.0
40,47,4,18,0,0,412.0
29,44,39,18,0,0,412.0
39,97,2,2,0,0,23.0
41,94,22,2,0,0,23.0
45,73,20,2,0,0,23.0
47,0,22,2,0,0,23.0
25,50,25,18,0,0,412.0
49,21,2,2,0,0,23.0
51,81,25,2,0,0,23.0
55,30,6,2,0,0,23.0
57,80,19,2,0,0,23.0
70,93,2,2,0,0,23.0
19,12,21,18,0,0,412.0
73,76,22,2,0,0,23.0
79,5,41,2,0,0,23.0
18,65,27,18,0,0,412.0
79,6,43,2,0,0,23.0
6,15,23,18,0,0,412.0
79,26,45,2,0,0,23.0
80,31,4,2,0,0,23.0
81,32,27,2,0,0,23.0
79,37,55,18,0,0,408.0
77,9,39,18,0,0,408.0
68,20,4,18,0,0,408.0
81,79,47,2,0,0,23.0
83,45,4,2,0,0,23.0
85,58,39,2,0,0,23.0
91,45,2,2,0,0,23.0
