src,dst,spec,slots_used,core_src,core_dst,tfk_slot
99,46,0,18,0,0,424.0
0,18,0,3,0,0,38.0
0,26,3,3,0,0,38.0
0,37,6,3,0,0,38.0
97,1,0,18,0,0,424.0
0,51,9,3,0,0,38.0
0,54,12,3,0,0,38.0
96,80,0,18,0,0,424.0
0,98,15,3,0,0,38.0
1,13,18,3,0,0,38.0
1,42,21,3,0,0,38.0
1,49,24,3,0,0,38.0
1,93,27,3,0,0,38.0
1,94,30,3,0,0,38.0
96,9,18,18,0,0,424.0
95,90,0,18,0,0,424.0
95,5,18,18,0,0,424.0
94,91,0,18,0,0,424.0
2,6,0,3,0,0,38.0
2,7,3,3,0,0,38.0
2,18,6,3,0,0,38.0
94,30,33,18,0,0,424.0
2,24,9,3,0,0,38.0
92,22,0,18,0,0,424.0
90,77,18,18,0,0,424.0
87,45,0,18,0,0,424.0
2,29,12,3,0,0,38.0
2,31,15,3,0,0,38.0
2,39,18,3,0,0,38.0
2,74,21,3,0,0,38.0
2,87,24,3,0,0,38.0
87,39,27,18,0,0,424.0
3,27,0,3,0,0,38.0
87,5,45,18,0,0,424.0
3,52,3,3,0,0,38.0
3,55,6,3,0,0,38.0
86,65,0,18,0,0,424.0
3,72,9,3,0,0,38.0
3,99,18,3,0,0,38.0
4,2,27,3,0,0,38.0
4,5,0,3,0,0,38.0
4,8,3,3,0,0,38.0
4,20,6,3,0,0,38.0
84,97,18,18,0,0,424.0
83,96,36,18,0,0,424.0
83,28,0,18,0,0,424.0
4,25,9,3,0,0,38.0
4,38,12,3,0,0,38.0
83,15,18,18,0,0,424.0
82,54,15,18,0,0,424.0
4,55,15,3,0,0,38.0
82,24,33,18,0,0,424.0
4,56,18,3,0,0,38.0
77,47,0,18,0,0,424.0
4,88,21,3,0,0,38.0
4,99,24,3,0,0,38.0
5,2,36,3,0,0,38.0
5,8,6,3,0,0,38.0
5,13,3,3,0,0,38.0
76,74,0,18,0,0,424.0
73,40,0,18,0,0,424.0
73,5,18,18,0,1,424.0
5,18,9,3,0,0,38.0
5,34,12,3,0,0,38.0
5,53,15,3,0,0,38.0
5,64,39,3,0,0,38.0
5,69,42,3,0,0,38.0
