src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
0,13,77,3,0,0,1,38.0
0,14,74,3,0,0,1,38.0
99,3,0,18,0,0,1,424.0
98,38,0,18,0,0,1,424.0
97,75,0,18,0,0,1,424.0
97,69,18,18,0,0,1,424.0
0,20,71,3,0,0,1,38.0
0,27,68,3,0,0,1,38.0
94,91,0,18,0,0,1,424.0
94,66,18,18,0,0,1,424.0
94,46,36,18,0,0,1,424.0
0,51,65,3,0,0,1,38.0
92,27,0,18,0,0,1,424.0
90,80,0,18,0,0,1,424.0
90,30,18,18,0,0,1,424.0
88,45,0,18,0,0,1,424.0
0,52,62,3,0,0,1,38.0
88,11,18,18,0,0,1,424.0
83,27,18,18,0,0,1,424.0
0,70,59,3,0,0,1,38.0
82,44,0,18,0,0,1,424.0
0,91,56,3,0,0,1,38.0
80,89,18,18,0,0,1,424.0
1,39,77,3,0,0,1,38.0
80,77,36,18,0,0,1,424.0
1,51,74,3,0,0,1,38.0
80,62,54,18,0,0,1,424.0
1,61,71,3,0,0,1,38.0
80,61,0,18,1,0,1,424.0
80,2,18,18,1,0,1,424.0
1,62,51,3,0,0,1,38.0
79,22,0,18,0,0,1,424.0
78,92,18,18,0,0,1,424.0
1,66,68,3,0,0,1,38.0
1,73,65,3,0,0,1,38.0
1,77,62,3,0,0,1,38.0
76,98,18,18,0,0,1,424.0
1,91,59,3,0,0,1,38.0
76,33,0,18,0,0,1,424.0
1,95,56,3,0,0,1,38.0
2,23,77,3,0,0,1,38.0
2,57,74,3,0,0,1,38.0
2,64,71,3,0,0,1,38.0
74,23,0,18,0,0,1,424.0
2,93,68,3,0,0,1,38.0
3,39,74,3,0,0,1,38.0
74,16,18,18,0,0,1,424.0
73,31,0,18,0,0,1,424.0
69,2,0,18,0,0,1,424.0
3,84,77,3,0,0,1,38.0
68,44,18,18,0,0,1,424.0
4,13,74,3,0,0,1,38.0
66,52,0,18,0,0,1,424.0
4,23,71,3,0,0,1,38.0
4,25,77,3,0,0,1,38.0
4,59,68,3,0,0,1,38.0
4,72,65,3,0,0,1,38.0
4,75,62,3,0,0,1,38.0
4,86,59,3,0,0,1,38.0
5,0,53,3,0,0,1,38.0
5,3,71,3,0,0,1,38.0
5,16,77,3,0,0,1,38.0
5,20,74,3,0,0,1,38.0
65,30,0,18,0,0,1,424.0
5,45,68,3,0,0,1,38.0
62,77,0,18,0,0,1,424.0
5,50,65,3,0,0,1,38.0
60,32,0,18,0,0,1,424.0
60,4,18,18,0,0,1,424.0
5,64,62,3,0,0,1,38.0
5,78,59,3,0,0,1,38.0
6,8,77,3,0,0,1,38.0
6,11,74,3,0,0,1,38.0
6,23,68,3,0,0,1,38.0
6,61,65,3,0,0,1,38.0
6,75,71,3,0,0,1,38.0
58,2,36,18,0,0,1,424.0
54,61,18,18,0,0,1,424.0
50,2,0,18,0,1,1,424.0
6,84,62,3,0,0,1,38.0
49,88,36,18,0,0,1,424.0
49,82,18,18,0,0,1,424.0
49,32,54,18,0,0,1,424.0
7,18,77,3,0,0,1,38.0
49,17,0,18,0,0,1,424.0
7,25,74,3,0,0,1,38.0
48,47,0,18,0,0,1,424.0
46,94,54,18,0,0,1,424.0
45,63,18,18,0,0,1,424.0
7,53,71,3,0,0,1,38.0
45,29,36,18,0,0,1,424.0
7,61,68,3,0,0,1,38.0
7,64,65,3,0,0,1,38.0
43,93,0,18,0,0,1,424.0
7,71,62,3,0,0,1,38.0
7,86,56,3,0,0,1,38.0
7,93,59,3,0,0,1,38.0
8,0,50,3,0,0,1,38.0
43,69,36,18,0,0,1,424.0
43,46,18,18,0,0,1,424.0
40,60,36,18,0,0,1,424.0
36,23,18,18,0,0,1,424.0
8,83,74,3,0,0,1,38.0
9,11,77,3,0,0,1,38.0
9,21,74,3,0,0,1,38.0
35,87,0,18,0,0,1,424.0
9,30,71,3,0,0,1,38.0
9,41,68,3,0,0,1,38.0
35,79,18,18,0,0,1,424.0
9,48,65,3,0,0,1,38.0
9,51,62,3,0,0,1,38.0
34,99,18,18,0,0,1,424.0
9,71,59,3,0,0,1,38.0
9,79,56,3,0,0,1,38.0
9,84,53,3,0,0,1,38.0
34,62,0,18,0,1,1,424.0
33,79,36,18,0,0,1,424.0
32,77,18,18,0,0,1,424.0
32,61,36,18,0,0,1,424.0
9,85,50,3,0,0,1,38.0
32,16,0,18,1,0,1,424.0
32,8,18,18,1,0,1,424.0
9,88,47,3,0,1,1,38.0
10,51,77,3,0,0,1,38.0
31,12,18,18,0,0,1,424.0
30,78,36,18,0,0,1,424.0
10,59,74,3,0,0,1,38.0
10,89,71,3,0,0,1,38.0
11,1,48,3,0,0,1,38.0
11,3,68,3,0,0,1,38.0
11,26,71,3,0,0,1,38.0
27,52,36,18,0,0,1,424.0
11,48,62,3,0,0,1,38.0
11,50,59,3,0,0,1,38.0
26,72,0,18,0,0,1,424.0
26,61,18,18,0,1,1,424.0
26,53,36,18,0,0,1,424.0
11,70,65,3,0,0,1,38.0
11,73,56,3,0,0,1,38.0
11,87,53,3,0,0,1,38.0
26,44,36,18,1,0,1,424.0
12,5,56,3,0,0,1,38.0
12,18,74,3,0,0,1,38.0
25,3,18,18,0,0,1,424.0
12,29,77,3,0,0,1,38.0
12,53,68,3,0,0,1,38.0
12,84,71,3,0,0,1,38.0
12,85,65,3,0,0,1,38.0
12,95,62,3,0,0,1,38.0
12,96,59,3,0,0,1,38.0
24,62,18,18,0,0,1,424.0
24,54,0,18,0,0,1,424.0
22,38,18,18,0,0,1,424.0
13,0,47,3,0,0,1,38.0
13,28,71,3,0,0,1,38.0
13,34,68,3,0,0,1,38.0
13,65,65,3,0,0,1,38.0
17,71,18,18,0,0,1,424.0
13,73,62,3,0,0,1,38.0
13,83,59,3,0,0,1,38.0
13,92,56,3,0,0,1,38.0
17,18,36,18,0,0,1,424.0
16,35,36,18,0,0,1,424.0
14,3,65,3,0,0,1,38.0
14,8,71,3,0,0,1,38.0
15,25,0,18,0,0,1,424.0
14,23,62,3,0,0,1,38.0
14,42,77,3,0,0,1,38.0
14,46,15,3,0,0,1,38.0
14,67,68,3,0,0,1,38.0
15,2,18,18,0,1,1,424.0
14,73,59,3,0,0,1,38.0
12,91,36,18,0,0,1,424.0
7,78,0,18,0,0,1,424.0
14,75,56,3,0,0,1,38.0
14,83,53,3,0,0,1,38.0
7,49,18,18,0,1,1,424.0
7,48,36,18,0,0,1,424.0
7,26,0,18,1,1,1,424.0
14,85,47,3,0,0,1,38.0
14,86,50,3,0,0,1,38.0
6,93,18,18,0,0,1,424.0
14,87,44,3,0,0,1,38.0
14,96,41,3,0,0,1,38.0
6,34,36,18,0,0,1,424.0
15,11,45,3,0,0,1,38.0
15,23,74,3,0,0,1,38.0
15,38,77,3,0,0,1,38.0
15,42,71,3,0,0,1,38.0
6,28,0,18,0,0,1,424.0
6,18,0,18,1,0,1,424.0
15,54,68,3,0,0,1,38.0
15,58,65,3,0,0,1,38.0
15,59,62,3,0,0,1,38.0
15,67,59,3,0,0,1,38.0
15,84,56,3,0,0,1,38.0
15,91,53,3,0,1,1,38.0
4,52,0,18,0,1,1,424.0
16,19,74,3,0,0,1,38.0
16,29,71,3,0,0,1,38.0
16,32,68,3,0,1,1,38.0
2,87,56,18,1,0,1,424.0
16,68,65,3,0,0,1,38.0
2,47,36,18,1,0,1,424.0
16,84,59,3,0,0,1,38.0
16,86,62,3,0,0,1,38.0
16,87,56,3,0,1,1,38.0
2,22,36,18,2,0,1,424.0
1,81,0,18,0,0,1,424.0
0,98,0,18,0,1,1,424.0
99,84,36,18,0,1,1,408.0
17,8,68,3,0,0,1,38.0
17,11,77,3,0,1,1,38.0
99,70,54,18,0,1,1,408.0
17,13,74,3,0,1,1,38.0
17,19,71,3,0,0,1,38.0
17,85,62,3,0,0,1,38.0
18,37,71,3,0,0,1,38.0
18,46,68,3,0,1,1,38.0
18,63,65,3,0,0,1,38.0
19,16,77,3,0,1,1,38.0
99,60,54,18,1,0,1,408.0
99,59,0,18,1,0,1,408.0
19,30,68,3,0,0,1,38.0
99,33,18,18,1,0,1,408.0
19,33,65,3,0,0,1,38.0
99,16,36,18,1,1,1,408.0
19,71,56,3,0,0,1,38.0
19,80,62,3,0,1,1,38.0
98,44,54,18,0,0,1,408.0
19,86,53,3,0,0,1,38.0
98,8,36,18,0,1,1,408.0
98,7,18,18,1,1,1,408.0
19,94,59,3,0,1,1,38.0
20,1,45,3,0,0,1,38.0
20,54,77,3,0,0,1,38.0
20,71,68,3,0,0,1,38.0
20,75,65,3,0,0,1,38.0
97,86,36,18,0,1,1,408.0
20,82,62,3,0,0,1,38.0
97,63,54,18,0,1,1,408.0
21,20,59,3,0,0,1,38.0
97,10,0,18,1,0,1,408.0
97,6,18,18,1,1,1,408.0
96,37,0,18,0,0,1,408.0
21,36,77,3,0,0,1,38.0
21,49,71,3,0,1,1,38.0
21,77,68,3,0,0,1,38.0
96,29,18,18,0,0,1,408.0
95,34,0,18,0,1,1,408.0
94,69,62,18,1,0,1,408.0
21,79,65,3,0,0,1,38.0
21,80,56,3,0,1,1,38.0
21,84,50,3,0,0,1,38.0
21,95,53,3,0,0,1,38.0
22,9,77,3,0,1,1,38.0
22,21,62,3,0,0,1,38.0
91,45,18,18,0,1,1,408.0
90,60,36,18,0,1,1,408.0
22,25,71,3,0,0,1,38.0
90,45,54,18,0,1,1,408.0
89,29,0,18,0,0,1,408.0
22,27,74,3,0,0,1,38.0
88,21,54,18,0,1,1,408.0
88,9,0,18,1,0,1,408.0
86,90,0,18,0,1,1,408.0
22,40,68,3,0,0,1,38.0
85,94,0,18,0,1,1,408.0
85,79,18,18,0,1,1,408.0
22,49,65,3,0,1,1,38.0
85,68,0,18,1,0,1,408.0
22,53,59,3,0,0,1,38.0
85,12,18,18,1,1,1,408.0
84,27,0,18,0,1,1,408.0
22,80,56,3,0,2,1,38.0
22,84,74,3,1,0,1,38.0
83,34,0,18,0,2,1,408.0
83,12,0,18,1,0,1,408.0
82,0,36,18,0,1,1,408.0
22,87,77,3,1,0,1,38.0
81,94,18,18,0,1,1,408.0
81,68,36,18,0,0,1,408.0
22,90,71,3,1,1,1,38.0
22,95,68,3,1,0,1,38.0
81,48,54,18,0,1,1,408.0
23,43,65,3,0,0,1,38.0
79,19,0,18,1,0,1,408.0
23,50,56,3,0,0,1,38.0
78,81,62,18,0,1,1,408.0
23,75,59,3,0,0,1,38.0
23,83,50,3,0,0,1,38.0
78,66,36,18,1,0,1,408.0
23,91,47,3,0,1,1,38.0
24,13,53,3,0,0,1,38.0
24,18,62,3,0,0,1,38.0
78,36,0,18,1,0,1,408.0
78,27,18,18,1,1,1,408.0
24,53,77,3,0,0,1,38.0
24,71,74,3,0,0,1,38.0
78,8,54,18,1,1,1,408.0
77,82,0,18,1,1,1,408.0
77,78,18,18,1,2,1,408.0
24,75,68,3,0,0,1,38.0
76,86,54,18,0,1,1,408.0
76,64,36,18,0,0,1,408.0
24,83,71,3,0,0,1,38.0
76,0,18,18,1,0,1,408.0
24,95,65,3,0,0,1,38.0
75,23,18,18,0,1,1,408.0
25,5,50,3,0,0,1,38.0
25,22,65,3,0,1,1,38.0
25,31,68,3,0,0,1,38.0
25,32,62,3,0,1,1,38.0
73,98,36,18,0,1,1,408.0
70,92,36,18,0,0,1,408.0
25,46,59,3,0,1,1,38.0
70,53,0,18,0,0,1,408.0
69,3,36,18,1,0,1,408.0
68,96,62,18,1,0,1,408.0
68,88,18,18,1,1,1,408.0
68,71,0,18,1,0,1,408.0
25,55,56,3,0,0,1,38.0
25,59,53,3,0,0,1,38.0
25,83,47,3,0,0,1,38.0
26,5,77,3,0,1,1,38.0
26,18,59,3,0,0,1,38.0
26,19,74,3,0,1,1,38.0
68,45,36,18,1,1,1,408.0
67,89,36,18,0,0,1,408.0
26,25,68,3,0,1,1,38.0
26,46,65,3,0,1,1,38.0
26,57,62,3,0,0,1,38.0
26,59,56,3,0,0,1,38.0
26,64,77,3,1,0,1,38.0
26,75,74,3,1,0,1,38.0
26,85,71,3,1,0,1,38.0
27,18,56,3,0,0,1,38.0
27,39,71,3,0,0,1,38.0
27,51,59,3,0,0,1,38.0
27,55,77,3,0,0,1,38.0
27,74,65,3,0,0,1,38.0
66,72,18,18,1,0,1,408.0
27,85,62,3,0,1,1,38.0
27,91,77,3,1,0,1,38.0
28,11,42,3,0,0,1,38.0
28,16,74,3,0,1,1,38.0
62,12,36,18,1,1,1,408.0
28,54,65,3,0,0,1,38.0
60,80,0,18,1,2,1,408.0
28,56,77,3,0,0,1,38.0
60,20,18,18,1,0,1,408.0
28,58,68,3,0,0,1,38.0
28,66,62,3,0,0,1,38.0
28,72,59,3,0,0,1,38.0
28,74,56,3,0,0,1,38.0
57,1,18,18,0,0,1,408.0
28,76,53,3,0,1,1,38.0
28,81,50,3,0,1,1,38.0
28,83,39,3,0,0,1,38.0
56,99,0,18,0,2,1,408.0
28,86,47,3,0,0,1,38.0
28,95,36,3,0,0,1,38.0
29,1,74,3,0,1,1,38.0
29,3,62,3,0,0,1,38.0
29,16,68,3,0,1,1,38.0
56,68,18,18,0,2,1,408.0
56,4,36,18,0,0,1,408.0
55,71,36,18,0,0,1,408.0
55,17,0,18,0,1,1,408.0
29,18,65,3,0,1,1,38.0
54,92,36,18,0,1,1,408.0
52,6,18,18,0,2,1,408.0
50,74,36,18,0,0,1,408.0
29,23,59,3,0,1,1,38.0
50,57,18,18,0,1,1,408.0
50,18,18,18,1,0,1,408.0
29,25,56,3,0,1,1,38.0
50,4,0,18,1,1,1,408.0
49,99,36,18,1,2,1,408.0
