src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
0,41,78,2,0,0,1,1.5
0,94,76,2,0,0,1,1.5
0,99,74,2,0,0,1,1.5
2,52,78,2,0,0,1,1.5
8,37,78,2,0,0,1,1.5
10,4,78,2,0,0,1,1.5
12,98,78,2,0,0,1,1.5
14,9,78,2,0,0,1,1.5
14,45,76,2,0,0,1,1.5
14,93,74,2,0,0,1,1.5
15,54,78,2,0,0,1,1.5
16,17,78,2,0,0,1,1.5
17,10,76,2,0,0,1,1.5
20,13,78,2,0,0,1,1.5
20,95,76,2,0,0,1,1.5
20,99,72,2,0,0,1,1.5
21,70,78,2,0,0,1,1.5
67,62,0,19,0,0,1,449.0
26,13,76,2,0,0,1,1.5
31,38,78,2,0,0,1,1.5
31,86,76,2,0,0,1,1.5
32,86,78,2,0,0,1,1.5
34,90,78,2,0,0,1,1.5
37,36,76,2,0,0,1,1.5
40,14,72,2,0,0,1,1.5
43,0,72,2,0,0,1,1.5
43,96,78,2,0,0,1,1.5
44,28,78,2,0,0,1,1.5
4,57,0,19,0,0,1,449.0
49,44,76,2,0,0,1,1.5
55,82,78,2,0,0,1,1.5
56,28,76,2,0,0,1,1.5
65,93,78,2,0,0,1,1.5
66,70,76,2,0,0,1,1.5
71,21,76,2,0,0,1,1.5
89,2,0,19,0,0,1,447.0
71,26,78,2,0,0,1,1.5
71,84,74,2,0,0,1,1.5
72,63,78,2,0,0,1,1.5
47,81,0,19,0,0,1,447.0
75,11,78,2,0,0,1,1.5
75,37,74,2,0,0,1,1.5
77,65,76,2,0,0,1,1.5
78,59,78,2,0,0,1,1.5
5,92,0,19,0,0,1,447.0
79,9,76,2,0,0,1,1.5
79,31,74,2,0,0,1,1.5
80,92,78,2,0,0,1,1.5
80,93,76,2,0,0,1,1.5
82,14,70,2,0,0,1,1.5
82,55,76,2,0,0,1,1.5
84,88,78,2,0,0,1,1.5
58,97,0,19,0,0,1,445.0
85,94,78,2,0,0,1,1.5
86,13,74,2,0,0,1,1.5
86,32,72,2,0,0,1,1.5
88,31,72,2,0,0,1,1.5
88,73,76,2,0,0,1,1.5
89,15,76,2,0,0,1,1.5
91,62,78,2,0,0,1,1.5
47,44,19,19,0,0,1,445.0
91,92,76,2,0,0,1,1.5
95,52,74,2,0,0,1,1.5
95,53,78,2,0,0,1,1.5
95,83,72,2,0,0,1,1.5
1,94,74,2,0,0,1,3.0
90,27,0,19,0,0,1,443.0
3,52,76,2,0,0,1,3.0
3,69,78,2,0,0,1,3.0
15,99,70,2,0,0,1,3.0
17,53,74,2,0,0,1,3.0
19,47,78,2,0,0,1,3.0
22,68,78,2,0,0,1,3.0
28,19,74,2,0,0,1,3.0
40,60,0,19,0,0,1,443.0
28,59,72,2,0,0,1,3.0
28,62,70,2,0,0,1,3.0
32,27,19,19,0,0,1,441.0
30,17,72,2,0,0,1,3.0
31,63,70,2,0,0,1,3.0
33,15,74,2,0,0,1,3.0
33,98,76,2,0,0,1,3.0
34,3,74,2,0,0,1,3.0
38,16,76,2,0,0,1,3.0
38,37,72,2,0,0,1,3.0
38,93,70,2,0,0,1,3.0
41,9,74,2,0,0,1,3.0
41,15,72,2,0,0,1,3.0
41,85,76,2,0,0,1,3.0
23,21,0,19,0,0,1,439.0
10,23,19,19,0,0,1,439.0
42,67,78,2,0,0,1,3.0
43,16,74,2,0,0,1,3.0
44,26,74,2,0,0,1,3.0
44,95,70,2,0,0,1,3.0
47,19,76,2,0,0,1,3.0
48,66,78,2,0,0,1,3.0
49,8,74,2,0,0,1,3.0
49,51,78,2,0,0,1,3.0
82,40,19,19,0,0,1,437.0
50,79,78,2,0,0,1,3.0
55,33,72,2,0,0,1,3.0
55,56,74,2,0,0,1,3.0
56,84,72,2,0,0,1,3.0
65,13,0,19,0,0,1,437.0
65,11,74,2,0,0,1,3.0
67,84,76,2,0,0,1,3.0
39,82,0,19,0,0,1,437.0
68,31,68,2,0,0,1,3.0
