src,dst,spec,slots_used,core_src,core_dst,tfk_slot
97,25,0,5,0,0,396.0
94,87,0,5,0,0,415.0
94,36,5,5,0,0,388.0
93,60,0,5,0,0,442.0
88,73,0,5,0,0,435.0
86,90,0,5,0,0,426.0
84,95,0,5,0,0,390.0
82,28,0,5,0,0,419.0
81,93,5,5,0,0,404.0
79,69,0,5,0,0,445.0
76,17,0,5,0,0,404.0
76,15,5,5,0,0,436.0
75,56,0,5,0,0,420.0
75,15,10,5,0,0,421.0
73,8,5,5,0,0,413.0
71,90,5,5,0,0,414.0
66,88,5,5,0,0,410.0
64,53,0,5,0,0,379.0
64,36,10,5,0,0,421.0
61,84,5,5,0,0,398.0
61,81,0,5,0,0,408.0
60,0,5,5,0,0,399.0
58,48,0,5,0,0,395.0
57,54,0,5,0,0,403.0
57,3,5,5,0,0,390.0
54,26,5,5,0,0,386.0
52,96,0,5,0,0,395.0
49,89,0,5,0,0,385.0
47,8,0,5,0,0,392.0
45,44,0,5,0,0,391.0
39,17,5,5,0,0,393.0
38,82,5,5,0,0,404.0
35,49,5,5,0,0,434.0
28,93,10,5,0,0,382.0
26,17,10,5,0,0,390.0
25,39,10,5,0,0,389.0
20,14,0,5,0,0,429.0
18,28,5,5,0,0,411.0
15,81,15,5,0,0,414.0
14,27,5,5,0,0,398.0
14,26,15,5,0,0,411.0
13,14,10,5,0,0,415.0
5,90,10,5,0,0,394.0
4,84,10,5,0,0,412.0
4,29,0,5,0,0,440.0
3,56,10,5,0,0,427.0
3,37,0,5,0,0,399.0
1,96,5,5,0,0,413.0
1,36,0,5,0,0,439.0
1,11,10,5,0,0,419.0
99,68,0,4,0,0,373.0
78,84,15,4,0,0,368.0
66,24,0,4,0,0,362.0
66,10,10,4,0,0,368.0
65,29,5,4,0,0,361.0
62,76,10,4,0,0,365.0
54,75,15,4,0,0,373.0
36,2,15,4,0,0,369.0
32,83,0,4,0,0,361.0
28,40,15,4,0,0,357.0
27,91,0,4,0,0,362.0
25,47,5,4,0,0,374.0
25,26,20,4,0,0,360.0
23,50,0,4,0,0,356.0
8,3,15,4,0,0,354.0
2,95,5,4,0,0,373.0
99,96,10,2,0,0,51.0
99,83,4,2,0,0,25.0
99,82,12,2,0,0,20.0
99,80,6,2,0,0,27.0
99,73,14,2,0,0,21.0
99,67,8,2,0,0,15.0
99,63,16,2,0,0,40.0
99,60,18,2,0,0,74.0
99,49,20,2,0,0,67.0
99,47,22,2,0,0,48.0
99,42,24,2,0,0,66.0
99,36,26,2,0,0,32.0
99,35,28,2,0,0,67.0
99,29,30,2,0,0,45.0
99,16,32,2,0,0,31.0
99,13,34,2,0,0,40.0
99,11,36,2,0,0,55.0
99,5,38,2,0,0,54.0
98,99,40,2,0,0,85.0
98,94,10,2,0,0,88.0
98,90,15,2,0,0,27.0
98,85,0,2,0,0,12.0
98,77,2,2,0,0,44.0
98,76,17,2,0,0,63.0
98,70,4,2,0,0,37.0
98,65,12,2,0,0,43.0
98,59,6,2,0,0,66.0
98,57,19,2,0,0,52.0
98,54,21,2,0,0,12.0
98,49,23,2,0,0,44.0
98,48,8,2,0,0,62.0
98,46,25,2,0,0,62.0
98,37,27,2,0,0,95.0
98,31,29,2,0,0,89.0
98,24,31,2,0,0,79.0
98,13,36,2,0,0,84.0
98,6,33,2,0,0,58.0
98,5,42,2,0,0,63.0
98,3,38,2,0,0,37.0
97,94,12,2,0,0,53.0
97,87,5,2,0,0,50.0
97,81,10,2,0,0,34.0
97,78,7,2,0,0,27.0
97,74,14,2,0,0,76.0
97,73,16,2,0,0,38.0
97,70,18,2,0,0,58.0
97,59,20,2,0,0,60.0
97,58,22,2,0,0,65.0
97,52,24,2,0,0,40.0
97,51,26,2,0,0,47.0
97,49,28,2,0,0,48.0
97,44,30,2,0,0,91.0
97,41,32,2,0,0,54.0
97,33,34,2,0,0,36.0
97,31,36,2,0,0,29.0
97,29,38,2,0,0,43.0
97,26,40,2,0,0,37.0
97,8,42,2,0,0,23.0
97,3,44,2,0,0,63.0
97,1,46,2,0,0,48.0
96,83,12,2,0,0,64.0
96,80,14,2,0,0,76.0
96,59,16,2,0,0,88.0
96,57,21,2,0,0,89.0
96,46,18,2,0,0,50.0
96,45,23,2,0,0,77.0
96,43,25,2,0,0,55.0
96,40,27,2,0,0,76.0
96,39,29,2,0,0,52.0
96,37,31,2,0,0,17.0
96,25,33,2,0,0,43.0
96,23,35,2,0,0,40.0
96,22,37,2,0,0,87.0
96,8,39,2,0,0,57.0
96,6,41,2,0,0,36.0
96,5,44,2,0,0,63.0
95,77,9,2,0,0,64.0
95,50,11,2,0,0,32.0
95,40,13,2,0,0,27.0
95,18,15,2,0,0,47.0
94,92,14,2,0,0,11.0
94,86,16,2,0,0,17.0
94,85,18,2,0,0,33.0
94,67,20,2,0,0,57.0
94,64,22,2,0,0,29.0
94,58,24,2,0,0,82.0
94,54,26,2,0,0,62.0
94,47,28,2,0,0,26.0
94,46,30,2,0,0,61.0
94,39,32,2,0,0,78.0
94,35,34,2,0,0,23.0
94,27,36,2,0,0,49.0
94,25,38,2,0,0,90.0
94,20,40,2,0,0,35.0
94,18,42,2,0,0,14.0
94,6,44,2,0,0,26.0
94,5,46,2,0,0,48.0
93,96,46,2,0,0,50.0
93,78,19,2,0,0,76.0
93,70,15,2,0,0,99.0
93,66,17,2,0,0,18.0
93,58,26,2,0,0,63.0
93,52,21,2,0,0,59.0
93,47,24,2,0,0,59.0
93,44,28,2,0,0,36.0
93,39,34,2,0,0,47.0
93,35,30,2,0,0,37.0
93,33,32,2,0,0,83.0
93,32,36,2,0,0,57.0
93,24,38,2,0,0,69.0
93,22,40,2,0,0,26.0
93,19,42,2,0,0,40.0
