src,dst,spec,slots_used,core_src,core_dst,tfk_slot
5,47,0,2,0,0,3.0
17,47,2,2,0,0,3.0
91,23,0,23,0,0,538.0
18,83,0,2,0,0,3.0
28,79,0,2,0,0,3.0
32,83,2,2,0,0,3.0
33,60,0,2,0,0,3.0
37,70,0,2,0,0,3.0
42,10,0,2,0,0,3.0
43,5,2,2,0,0,3.0
45,77,0,2,0,0,3.0
46,28,2,2,0,0,3.0
46,56,0,2,0,0,3.0
46,70,4,2,0,0,3.0
37,57,2,23,0,0,535.0
62,89,0,22,0,0,511.0
46,91,23,2,0,0,3.0
48,78,0,2,0,0,3.0
50,24,0,2,0,0,3.0
30,37,25,21,0,0,499.0
51,53,0,2,0,0,3.0
52,65,0,2,0,0,3.0
53,10,2,2,0,0,3.0
54,48,2,2,0,0,3.0
54,79,4,2,0,0,3.0
63,58,0,21,0,0,487.0
68,5,4,2,0,0,3.0
72,9,0,2,0,0,3.0
74,21,0,2,0,0,3.0
66,87,0,20,0,0,475.0
76,70,2,2,0,0,3.0
77,64,2,2,0,0,3.0
79,53,6,2,0,0,3.0
80,49,0,2,0,0,3.0
24,60,2,20,0,0,475.0
82,18,2,2,0,0,3.0
82,48,4,2,0,0,3.0
85,96,0,2,0,0,3.0
90,68,0,2,0,0,3.0
91,79,25,2,0,0,3.0
93,1,0,2,0,0,3.0
94,79,2,2,0,0,3.0
96,50,2,2,0,0,3.0
97,38,0,2,0,0,3.0
97,83,4,2,0,0,3.0
98,56,2,2,0,0,3.0
98,85,4,2,0,0,3.0
14,24,22,20,0,0,475.0
1,87,20,20,0,0,472.0
4,90,2,2,0,0,5.0
5,30,6,2,0,0,5.0
7,47,4,2,0,0,5.0
10,84,4,2,0,0,5.0
13,52,2,2,0,0,5.0
14,56,4,2,0,0,5.0
94,70,6,20,0,0,469.0
14,95,0,2,0,0,5.0
16,56,6,2,0,0,5.0
57,0,25,20,0,0,466.0
19,56,8,2,0,0,5.0
3,17,4,20,0,0,466.0
24,74,42,2,0,0,5.0
25,74,2,2,0,0,5.0
19,3,24,20,0,0,463.0
33,0,2,20,0,0,460.0
95,0,45,20,0,0,457.0
25,86,0,2,0,0,5.0
27,31,0,2,0,0,5.0
27,43,4,2,0,0,5.0
27,49,2,2,0,0,5.0
88,56,10,20,0,0,454.0
29,38,2,2,0,0,5.0
95,17,24,19,0,0,436.0
29,94,0,2,0,0,5.0
52,86,4,19,0,0,436.0
