src,dst,spec,slots_used,core_src,core_dst,tfk_slot
95,4,0,5,0,0,442.0
91,67,0,5,0,0,426.0
91,8,5,5,0,0,426.0
88,16,0,5,0,0,474.0
84,77,0,5,0,0,458.0
69,48,0,5,0,0,458.0
67,69,5,5,0,0,474.0
65,82,0,5,0,0,474.0
52,78,0,5,0,0,474.0
52,2,5,5,0,0,474.0
51,91,10,5,0,0,442.0
50,30,0,5,0,0,442.0
43,30,5,5,0,0,426.0
42,41,0,5,0,0,426.0
39,21,0,5,0,0,474.0
35,4,5,5,0,0,474.0
25,51,0,5,0,0,474.0
23,21,5,5,0,0,474.0
20,35,0,5,0,0,458.0
16,2,10,5,0,0,442.0
4,14,10,5,0,0,442.0
99,97,0,2,0,0,31.0
99,95,5,2,0,0,13.0
99,87,2,2,0,0,31.0
99,86,7,2,0,0,13.0
99,84,9,2,0,0,31.0
99,81,11,2,0,0,40.0
99,77,13,2,0,0,31.0
99,75,15,2,0,0,22.0
99,65,17,2,0,0,31.0
99,55,19,2,0,0,31.0
99,52,21,2,0,0,22.0
99,47,23,2,0,0,31.0
99,41,25,2,0,0,13.0
99,36,27,2,0,0,13.0
99,35,29,2,0,0,13.0
99,34,31,2,0,0,22.0
99,19,33,2,0,0,31.0
99,18,35,2,0,0,40.0
99,15,37,2,0,0,22.0
99,13,39,2,0,0,31.0
99,11,41,2,0,0,22.0
99,9,43,2,0,0,22.0
99,0,45,2,0,0,13.0
98,95,7,2,0,0,22.0
98,94,0,2,0,0,40.0
98,86,2,2,0,0,13.0
98,80,4,2,0,0,31.0
98,77,9,2,0,0,13.0
98,67,11,2,0,0,31.0
98,51,15,2,0,0,31.0
98,48,13,2,0,0,40.0
98,42,17,2,0,0,22.0
98,36,19,2,0,0,22.0
98,30,21,2,0,0,13.0
98,27,23,2,0,0,31.0
98,23,25,2,0,0,13.0
98,21,27,2,0,0,31.0
98,18,29,2,0,0,22.0
98,17,31,2,0,0,31.0
98,16,33,2,0,0,40.0
98,10,35,2,0,0,22.0
98,7,37,2,0,0,22.0
98,3,39,2,0,0,31.0
98,2,41,2,0,0,22.0
97,99,47,2,0,0,31.0
97,89,2,2,0,0,31.0
97,86,4,2,0,0,22.0
97,84,6,2,0,0,40.0
97,83,8,2,0,0,22.0
97,81,13,2,0,0,13.0
97,72,10,2,0,0,31.0
97,71,15,2,0,0,22.0
97,65,19,2,0,0,40.0
97,57,17,2,0,0,22.0
97,55,21,2,0,0,40.0
97,54,23,2,0,0,22.0
97,53,25,2,0,0,22.0
97,52,27,2,0,0,31.0
97,50,29,2,0,0,40.0
97,40,31,2,0,0,31.0
97,35,33,2,0,0,13.0
97,26,35,2,0,0,40.0
97,7,39,2,0,0,22.0
97,5,37,2,0,0,13.0
97,4,41,2,0,0,31.0
97,2,43,2,0,0,31.0
97,0,49,2,0,0,40.0
96,99,49,2,0,0,31.0
96,97,45,2,0,0,22.0
96,89,0,2,0,0,13.0
96,82,5,2,0,0,31.0
96,81,2,2,0,0,31.0
96,79,7,2,0,0,31.0
96,77,11,2,0,0,31.0
96,73,9,2,0,0,22.0
96,60,13,2,0,0,22.0
96,54,15,2,0,0,31.0
96,50,17,2,0,0,31.0
96,46,19,2,0,0,22.0
96,38,21,2,0,0,31.0
96,37,23,2,0,0,22.0
96,34,25,2,0,0,22.0
96,33,27,2,0,0,13.0
96,32,29,2,0,0,31.0
96,30,31,2,0,0,22.0
96,26,33,2,0,0,31.0
96,12,35,2,0,0,31.0
96,10,37,2,0,0,22.0
96,9,39,2,0,0,31.0
96,0,41,2,0,0,22.0
95,70,9,2,0,0,13.0
95,63,11,2,0,0,22.0
95,46,13,2,0,0,22.0
95,24,15,2,0,0,22.0
94,97,51,2,0,0,22.0
94,96,43,2,0,0,31.0
94,91,15,2,0,0,31.0
94,75,2,2,0,0,31.0
94,71,4,2,0,0,31.0
94,68,6,2,0,0,22.0
94,67,13,2,0,0,31.0
94,65,8,2,0,0,22.0
94,62,10,2,0,0,22.0
94,59,17,2,0,0,31.0
94,54,19,2,0,0,13.0
94,53,21,2,0,0,13.0
94,48,23,2,0,0,13.0
94,41,27,2,0,0,13.0
94,40,25,2,0,0,22.0
94,37,29,2,0,0,22.0
94,35,31,2,0,0,13.0
94,32,33,2,0,0,22.0
94,27,35,2,0,0,22.0
94,26,37,2,0,0,31.0
94,23,39,2,0,0,40.0
94,21,41,2,0,0,22.0
94,16,45,2,0,0,22.0
94,13,47,2,0,0,31.0
94,3,49,2,0,0,22.0
93,99,51,2,0,0,31.0
93,94,53,2,0,0,40.0
93,90,0,2,0,0,31.0
93,89,4,2,0,0,13.0
93,75,6,2,0,0,31.0
93,70,2,2,0,0,22.0
