src,dst,spec,slots_used,core_src,core_dst,tfk_slot
65,63,0,6,0,0,528.0
57,40,0,6,0,0,572.0
19,44,0,6,0,0,512.0
15,90,0,6,0,0,504.0
93,87,0,5,0,0,448.0
89,42,0,5,0,0,400.0
86,51,0,5,0,0,464.0
86,46,5,5,0,0,448.0
83,2,0,5,0,0,496.0
80,45,0,5,0,0,452.0
77,85,0,5,0,0,432.0
76,88,0,5,0,0,480.0
59,56,0,5,0,0,416.0
54,88,5,5,0,0,420.0
54,27,0,5,0,0,428.0
49,67,0,5,0,0,404.0
44,72,6,5,0,0,408.0
34,26,0,5,0,0,404.0
34,24,5,5,0,0,416.0
31,85,5,5,0,0,408.0
25,19,6,5,0,0,460.0
25,2,11,5,0,0,488.0
17,13,0,5,0,0,484.0
14,78,0,5,0,0,476.0
7,28,0,5,0,0,380.0
4,87,5,5,0,0,376.0
0,9,0,5,0,0,452.0
97,46,0,4,0,0,292.0
90,81,6,4,0,0,280.0
89,84,5,4,0,0,352.0
86,26,10,4,0,0,292.0
86,5,14,4,0,0,368.0
83,7,5,4,0,0,256.0
80,49,5,4,0,0,368.0
79,71,0,4,0,0,352.0
78,85,10,4,0,0,272.0
71,14,5,4,0,0,320.0
71,9,9,4,0,0,316.0
71,6,13,4,0,0,304.0
66,89,9,4,0,0,296.0
62,51,5,4,0,0,372.0
61,79,4,4,0,0,364.0
59,48,5,4,0,0,300.0
55,44,11,4,0,0,252.0
53,40,6,4,0,0,352.0
48,8,0,4,0,0,292.0
48,1,9,4,0,0,304.0
39,97,4,4,0,0,256.0
35,89,13,4,0,0,332.0
31,2,16,4,0,0,360.0
25,22,0,4,0,0,324.0
22,58,4,4,0,0,324.0
22,13,8,4,0,0,344.0
15,69,6,4,0,0,360.0
11,71,17,4,0,0,364.0
9,36,5,4,0,0,352.0
8,64,4,4,0,0,296.0
8,58,8,4,0,0,272.0
7,16,9,4,0,0,284.0
99,78,5,3,0,0,164.0
99,55,0,3,0,0,141.5
99,51,9,3,0,0,126.5
99,42,12,3,0,0,129.0
99,38,15,3,0,0,184.0
99,36,18,3,0,0,134.0
99,8,21,3,0,0,234.0
98,88,10,3,0,0,181.5
98,57,6,3,0,0,194.0
98,54,13,3,0,0,174.0
98,33,0,3,0,0,181.5
98,31,20,3,0,0,214.0
98,26,16,3,0,0,189.0
98,19,23,3,0,0,154.0
97,28,8,3,0,0,131.5
97,1,13,3,0,0,156.5
96,87,10,3,0,0,134.0
96,84,0,3,0,0,164.0
96,78,14,3,0,0,231.5
96,61,17,3,0,0,189.0
96,56,5,3,0,0,171.5
96,55,20,3,0,0,249.0
96,49,23,3,0,0,161.5
96,26,26,3,0,0,129.0
95,88,13,3,0,0,199.0
95,58,0,3,0,0,164.0
95,51,16,3,0,0,161.5
95,41,3,3,0,0,131.5
95,31,10,3,0,0,161.5
95,28,19,3,0,0,154.0
95,27,6,3,0,0,181.5
95,12,22,3,0,0,141.5
94,98,3,3,0,0,186.5
94,87,13,3,0,0,214.0
94,86,18,3,0,0,181.5
93,90,10,3,0,0,144.0
93,81,13,3,0,0,221.5
93,79,16,3,0,0,174.0
93,59,19,3,0,0,196.5
93,58,22,3,0,0,129.0
93,51,25,3,0,0,141.5
93,42,5,3,0,0,174.0
92,85,14,3,0,0,196.5
91,15,10,3,0,0,159.0
91,8,13,3,0,0,161.5
91,2,5,3,0,0,199.0
90,75,13,3,0,0,216.5
90,74,16,3,0,0,220.0
90,26,19,3,0,0,224.0
89,77,17,3,0,0,171.5
89,44,20,3,0,0,224.0
89,18,23,3,0,0,129.0
88,21,16,3,0,0,209.0
87,65,16,3,0,0,221.5
87,52,19,3,0,0,146.5
87,12,25,3,0,0,189.0
87,10,22,3,0,0,191.5
86,84,21,3,0,0,176.5
86,75,24,3,0,0,131.5
86,63,27,3,0,0,211.5
85,29,17,3,0,0,129.0
85,24,20,3,0,0,201.5
85,13,23,3,0,0,156.5
84,98,26,3,0,0,216.5
84,81,10,3,0,0,134.0
84,0,13,3,0,0,161.5
83,70,9,3,0,0,134.0
83,43,12,3,0,0,154.0
83,42,15,3,0,0,184.0
83,3,18,3,0,0,154.0
82,42,8,3,0,0,171.5
82,30,0,3,0,0,234.0
82,26,5,3,0,0,221.5
81,98,29,3,0,0,149.0
81,50,0,3,0,0,134.0
81,7,16,3,0,0,131.5
80,93,28,3,0,0,159.0
80,56,9,3,0,0,239.0
80,9,13,3,0,0,174.0
80,2,20,3,0,0,181.5
79,34,10,3,0,0,141.5
78,53,17,3,0,0,184.0
78,47,20,3,0,0,156.5
78,14,23,3,0,0,149.0
78,10,26,3,0,0,129.0
77,46,10,3,0,0,194.0
77,44,23,3,0,0,166.5
77,40,13,3,0,0,196.5
76,40,10,3,0,0,164.0
76,26,22,3,0,0,141.5
76,17,5,3,0,0,164.0
75,48,16,3,0,0,224.0
75,4,0,3,0,0,154.0
74,51,12,3,0,0,141.5
74,48,19,3,0,0,169.0
74,17,8,3,0,0,211.5
73,97,16,3,0,0,186.5
73,88,19,3,0,0,151.5
73,71,22,3,0,0,184.0
73,63,6,3,0,0,129.0
73,42,25,3,0,0,146.5
73,30,3,3,0,0,164.0
73,7,13,3,0,0,149.0
72,67,11,3,0,0,161.5
72,35,0,3,0,0,219.0
71,19,26,3,0,0,159.0
70,97,19,3,0,0,214.0
70,85,26,3,0,0,221.5
70,63,12,3,0,0,191.5
70,19,15,3,0,0,156.5
70,14,29,3,0,0,186.5
69,98,32,3,0,0,244.0
69,93,35,3,0,0,134.0
69,75,3,3,0,0,151.5
69,61,0,3,0,0,181.5
69,42,18,3,0,0,141.5
69,15,13,3,0,0,179.0
68,84,16,3,0,0,151.5
68,79,13,3,0,0,241.5
68,64,0,3,0,0,129.0
68,61,8,3,0,0,229.0
68,41,19,3,0,0,141.5
68,40,22,3,0,0,164.0
68,35,3,3,0,0,139.0
68,4,25,3,0,0,179.0
68,3,28,3,0,0,211.5
67,79,19,3,0,0,139.0
67,62,14,3,0,0,246.5
67,49,26,3,0,0,224.0
67,39,8,3,0,0,214.0
67,32,5,3,0,0,144.0
67,31,23,3,0,0,224.0
67,9,29,3,0,0,134.0
66,88,22,3,0,0,131.5
66,87,28,3,0,0,224.0
66,75,6,3,0,0,154.0
66,50,3,3,0,0,196.5
66,28,13,3,0,0,161.5
65,99,24,3,0,0,240.0
65,84,29,3,0,0,151.5
65,81,19,3,0,0,176.5
65,30,6,3,0,0,196.5
65,16,13,3,0,0,184.0
64,88,25,3,0,0,189.0
64,66,16,3,0,0,126.5
64,17,11,3,0,0,206.5
64,3,8,3,0,0,129.0
63,92,9,3,0,0,126.5
63,64,19,3,0,0,136.5
63,4,15,3,0,0,136.5
62,78,29,3,0,0,181.5
62,71,32,3,0,0,159.0
62,55,17,3,0,0,149.0
62,42,21,3,0,0,176.5
61,91,20,3,0,0,144.0
61,68,31,3,0,0,181.5
61,29,11,3,0,0,181.5
