src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
69,70,0,21,0,0,1,496.0
3,43,78,2,0,0,1,2.0
3,79,76,2,0,0,1,2.0
3,89,74,2,0,0,1,2.0
7,95,78,2,0,0,1,2.0
8,48,78,2,0,0,1,2.0
8,89,76,2,0,0,1,2.0
50,15,0,21,0,0,1,490.0
27,63,0,21,0,0,1,486.0
11,26,78,2,0,0,1,2.0
22,13,0,21,0,0,1,476.0
14,86,78,2,0,0,1,2.0
76,1,0,20,0,0,1,472.0
19,3,72,2,0,0,1,2.0
53,97,0,20,0,0,1,472.0
19,16,78,2,0,0,1,2.0
19,44,76,2,0,0,1,2.0
20,48,76,2,0,0,1,2.0
25,36,78,2,0,0,1,2.0
7,57,0,20,0,0,1,472.0
26,31,76,2,0,0,1,2.0
27,70,78,2,0,0,1,2.0
72,16,0,20,0,0,1,462.0
33,65,0,20,0,0,1,462.0
2,57,20,20,0,0,1,462.0
31,64,78,2,0,0,1,2.0
34,89,78,2,0,0,1,2.0
64,82,0,20,0,0,1,456.0
13,86,21,20,0,0,1,456.0
35,8,74,2,0,0,1,2.0
35,90,78,2,0,0,1,2.0
36,75,76,2,0,0,1,2.0
84,29,0,20,0,0,1,452.0
43,1,76,2,0,0,1,2.0
38,72,20,20,0,0,1,452.0
51,1,20,19,0,0,1,450.0
48,45,0,19,0,0,1,450.0
48,59,19,19,0,0,1,448.0
26,13,41,19,0,0,1,448.0
0,74,0,19,0,0,1,448.0
46,31,74,2,0,0,1,2.0
51,4,78,2,0,0,1,2.0
54,85,78,2,0,0,1,2.0
56,14,76,2,0,0,1,2.0
58,48,74,2,0,0,1,2.0
58,90,76,2,0,0,1,2.0
62,7,76,2,0,0,1,2.0
54,29,20,19,0,0,1,444.0
63,2,78,2,0,0,1,2.0
64,57,76,2,0,0,1,2.0
67,13,78,2,0,0,1,2.0
4,63,21,19,0,0,1,442.0
69,30,78,2,0,0,1,2.0
70,75,74,2,0,0,1,2.0
75,22,78,2,0,0,1,2.0
76,99,78,2,0,0,1,2.0
87,59,78,2,0,0,1,2.0
70,58,21,19,0,0,1,440.0
89,22,72,2,0,0,1,2.0
62,43,0,19,0,0,1,440.0
89,77,70,2,0,0,1,2.0
91,23,78,2,0,0,1,2.0
91,93,76,2,0,0,1,2.0
92,77,78,2,0,0,1,2.0
6,42,0,19,0,0,1,438.0
96,2,76,2,0,0,1,2.0
96,88,78,2,0,0,1,2.0
56,39,0,19,0,0,1,434.0
97,46,78,2,0,0,1,2.0
0,80,78,2,0,0,1,3.5
97,54,39,19,0,0,1,432.0
2,96,74,2,0,0,1,3.5
4,96,72,2,0,0,1,3.5
6,43,74,2,0,0,1,3.5
15,87,21,19,0,0,1,432.0
8,82,72,2,0,0,1,3.5
10,2,72,2,0,0,1,3.5
19,37,74,2,0,0,1,3.5
82,0,20,19,0,0,1,428.0
53,29,39,19,0,0,1,428.0
19,55,70,2,0,0,1,3.5
26,68,74,2,0,0,1,3.5
27,45,21,19,0,0,1,428.0
39,55,19,19,0,0,1,426.0
31,8,70,2,0,0,1,3.5
31,16,72,2,0,0,1,3.5
32,85,76,2,0,0,1,3.5
26,1,0,19,0,1,1,426.0
34,8,68,2,0,0,1,3.5
34,54,76,2,0,0,1,3.5
16,70,40,19,0,0,1,426.0
91,72,40,18,0,0,1,422.0
35,13,76,2,0,0,1,3.5
37,59,76,2,0,0,1,3.5
38,36,74,2,0,0,1,3.5
45,57,40,18,0,0,1,422.0
43,50,72,2,0,0,1,3.5
46,26,72,2,0,0,1,3.5
47,42,78,2,0,0,1,3.5
38,39,40,18,0,0,1,422.0
51,81,76,2,0,0,1,3.5
7,64,20,18,0,0,1,422.0
