src,dst,spec,slots_used,core_src,core_dst,tfk_slot
97,80,0,5,0,0,392.0
96,86,0,5,0,0,408.0
95,96,5,5,0,0,408.0
95,88,0,5,0,0,408.0
95,74,10,5,0,0,392.0
95,60,15,5,0,0,408.0
95,59,20,5,0,0,424.0
95,55,25,5,0,0,376.0
95,2,30,5,0,0,376.0
94,28,0,5,0,0,424.0
93,34,0,5,0,0,392.0
92,84,0,5,0,0,392.0
91,88,5,5,0,0,376.0
91,75,0,5,0,0,392.0
91,52,10,5,0,0,408.0
91,34,15,5,0,0,408.0
91,10,20,5,0,0,408.0
90,80,5,5,0,0,408.0
90,76,0,5,0,0,408.0
90,66,10,5,0,0,424.0
90,59,15,5,0,0,392.0
90,56,20,5,0,0,424.0
90,29,25,5,0,0,392.0
90,23,30,5,0,0,408.0
89,91,25,5,0,0,392.0
88,41,10,5,0,0,376.0
87,96,10,5,0,0,392.0
87,69,0,5,0,0,408.0
87,48,5,5,0,0,408.0
87,3,15,5,0,0,392.0
86,88,15,5,0,0,376.0
85,77,0,5,0,0,376.0
85,67,5,5,0,0,376.0
85,61,10,5,0,0,408.0
84,88,20,5,0,0,376.0
84,71,5,5,0,0,408.0
84,45,10,5,0,0,392.0
82,43,0,5,0,0,392.0
82,37,5,5,0,0,392.0
81,15,0,5,0,0,408.0
81,12,5,5,0,0,392.0
80,72,10,5,0,0,408.0
80,6,15,5,0,0,392.0
79,88,25,5,0,0,392.0
79,13,0,5,0,0,424.0
79,12,10,5,0,0,376.0
78,44,0,5,0,0,424.0
77,36,5,5,0,0,376.0
77,24,10,5,0,0,376.0
76,6,5,5,0,0,392.0
75,87,20,5,0,0,376.0
75,43,5,5,0,0,408.0
75,23,10,5,0,0,392.0
75,6,25,5,0,0,392.0
75,2,15,5,0,0,376.0
72,84,15,5,0,0,376.0
72,10,0,5,0,0,376.0
69,32,5,5,0,0,408.0
69,9,10,5,0,0,392.0
68,94,5,5,0,0,376.0
68,30,0,5,0,0,376.0
67,71,0,5,0,0,424.0
66,53,0,5,0,0,392.0
66,34,5,5,0,0,392.0
66,8,15,5,0,0,408.0
66,0,20,5,0,0,408.0
64,91,30,5,0,0,408.0
64,33,0,5,0,0,408.0
63,97,5,5,0,0,408.0
63,66,25,5,0,0,424.0
63,41,0,5,0,0,424.0
63,40,10,5,0,0,408.0
63,26,15,5,0,0,424.0
63,20,20,5,0,0,392.0
62,96,15,5,0,0,392.0
62,75,30,5,0,0,408.0
62,41,5,5,0,0,408.0
62,34,10,5,0,0,408.0
61,71,15,5,0,0,408.0
60,91,35,5,0,0,408.0
60,66,30,5,0,0,392.0
60,5,0,5,0,0,392.0
59,25,0,5,0,0,424.0
58,46,0,5,0,0,392.0
58,38,5,5,0,0,376.0
57,74,0,5,0,0,408.0
57,67,10,5,0,0,376.0
57,50,5,5,0,0,392.0
57,40,15,5,0,0,376.0
57,23,20,5,0,0,408.0
54,37,0,5,0,0,392.0
54,17,5,5,0,0,392.0
52,14,0,5,0,0,376.0
51,67,15,5,0,0,376.0
50,54,10,5,0,0,392.0
50,27,0,5,0,0,408.0
50,17,15,5,0,0,392.0
50,13,20,5,0,0,408.0
50,4,25,5,0,0,376.0
49,53,5,5,0,0,392.0
47,60,5,5,0,0,392.0
47,41,15,5,0,0,424.0
46,40,5,5,0,0,392.0
45,74,5,5,0,0,424.0
41,40,20,5,0,0,408.0
39,74,15,5,0,0,408.0
39,47,0,5,0,0,424.0
