src,dst,spec,slots_used,core_src,core_dst,tfk_slot
99,94,0,5,0,0,400.0
99,50,5,5,0,0,400.0
99,24,10,5,0,0,400.0
99,0,15,5,0,0,400.0
98,70,0,5,0,0,400.0
98,55,5,5,0,0,400.0
98,29,10,5,0,0,400.0
97,9,0,5,0,0,400.0
96,95,0,5,0,0,400.0
96,53,5,5,0,0,400.0
96,52,10,5,0,0,400.0
96,16,15,5,0,0,400.0
95,83,5,5,0,0,400.0
94,92,5,5,0,0,400.0
94,78,10,5,0,0,400.0
94,68,15,5,0,0,400.0
94,40,20,5,0,0,400.0
94,11,25,5,0,0,400.0
90,82,0,5,0,0,400.0
90,61,5,5,0,0,400.0
90,47,10,5,0,0,400.0
90,46,15,5,0,0,400.0
90,35,20,5,0,0,400.0
90,6,25,5,0,0,400.0
90,0,30,5,0,0,400.0
89,75,0,5,0,0,400.0
89,61,10,5,0,0,400.0
89,54,5,5,0,0,400.0
89,49,15,5,0,0,400.0
89,44,20,5,0,0,400.0
89,40,25,5,0,0,400.0
88,80,0,5,0,0,400.0
88,55,10,5,0,0,400.0
88,29,5,5,0,0,400.0
88,20,15,5,0,0,400.0
88,17,20,5,0,0,400.0
87,71,0,5,0,0,400.0
87,63,5,5,0,0,400.0
86,71,5,5,0,0,400.0
86,34,0,5,0,0,400.0
86,27,10,5,0,0,400.0
85,62,0,5,0,0,400.0
85,4,5,5,0,0,400.0
84,97,5,5,0,0,400.0
84,59,0,5,0,0,400.0
84,56,10,5,0,0,400.0
84,32,15,5,0,0,400.0
84,25,20,5,0,0,400.0
84,10,25,5,0,0,400.0
83,77,0,5,0,0,400.0
83,60,10,5,0,0,400.0
83,45,15,5,0,0,400.0
83,26,20,5,0,0,400.0
83,11,30,5,0,0,400.0
82,93,5,5,0,0,400.0
82,44,10,5,0,0,400.0
82,43,15,5,0,0,400.0
82,33,20,5,0,0,400.0
81,85,10,5,0,0,400.0
81,73,0,5,0,0,400.0
81,53,15,5,0,0,400.0
81,6,5,5,0,0,400.0
80,94,30,5,0,0,400.0
80,84,35,5,0,0,400.0
80,51,5,5,0,0,400.0
80,26,10,5,0,0,400.0
79,63,0,5,0,0,400.0
79,25,5,5,0,0,400.0
79,6,10,5,0,0,400.0
77,96,20,5,0,0,400.0
77,75,5,5,0,0,400.0
77,71,10,5,0,0,400.0
76,82,25,5,0,0,400.0
76,64,0,5,0,0,400.0
76,1,5,5,0,0,400.0
74,89,30,5,0,0,400.0
74,78,0,5,0,0,400.0
74,40,5,5,0,0,400.0
73,86,15,5,0,0,400.0
73,67,5,5,0,0,400.0
73,44,25,5,0,0,400.0
72,93,0,5,0,0,400.0
71,70,15,5,0,0,400.0
71,51,20,5,0,0,400.0
71,34,25,5,0,0,400.0
69,52,0,5,0,0,400.0
69,18,5,5,0,0,400.0
68,22,0,5,0,0,400.0
67,86,20,5,0,0,400.0
67,37,0,5,0,0,400.0
67,20,10,5,0,0,400.0
66,63,10,5,0,0,400.0
66,13,0,5,0,0,400.0
65,19,0,5,0,0,400.0
64,60,5,5,0,0,400.0
64,24,15,5,0,0,400.0
64,21,10,5,0,0,400.0
64,10,20,5,0,0,400.0
64,1,25,5,0,0,400.0
63,61,15,5,0,0,400.0
63,19,20,5,0,0,400.0
62,92,10,5,0,0,400.0
62,42,5,5,0,0,400.0
62,24,20,5,0,0,400.0
61,20,0,5,0,0,400.0
60,1,0,5,0,0,400.0
59,99,20,5,0,0,400.0
59,74,10,5,0,0,400.0
59,34,5,5,0,0,400.0
59,0,25,5,0,0,400.0
58,96,25,5,0,0,400.0
58,53,0,5,0,0,400.0
57,66,5,5,0,0,400.0
57,53,10,5,0,0,400.0
57,43,0,5,0,0,400.0
57,18,15,5,0,0,400.0
56,85,15,5,0,0,400.0
55,75,15,5,0,0,400.0
55,47,0,5,0,0,400.0
55,29,20,5,0,0,400.0
55,6,30,5,0,0,400.0
55,4,25,5,0,0,400.0
53,94,35,5,0,0,400.0
53,42,20,5,0,0,400.0
53,38,25,5,0,0,400.0
53,21,30,5,0,0,400.0
53,14,40,5,0,0,400.0
53,6,45,5,0,0,400.0
52,84,30,5,0,0,400.0
52,82,35,5,0,0,400.0
52,7,5,5,0,0,400.0
52,3,15,5,0,0,400.0
51,50,0,5,0,0,400.0
51,49,10,5,0,0,400.0
51,44,15,5,0,0,400.0
49,94,40,5,0,0,400.0
49,73,20,5,0,0,400.0
49,55,35,5,0,0,400.0
49,23,0,5,0,0,400.0
48,64,30,5,0,0,400.0
48,38,0,5,0,0,400.0
48,33,5,5,0,0,400.0
48,9,10,5,0,0,400.0
47,70,5,5,0,0,400.0
47,46,20,5,0,0,400.0
47,24,25,5,0,0,400.0
47,5,15,5,0,0,400.0
46,81,25,5,0,0,400.0
46,57,30,5,0,0,400.0
46,31,0,5,0,0,400.0
45,61,20,5,0,0,400.0
45,39,0,5,0,0,400.0
44,91,0,5,0,0,400.0
44,88,30,5,0,0,400.0
44,18,35,5,0,0,400.0
44,2,5,5,0,0,400.0
41,97,10,5,0,0,400.0
41,79,15,5,0,0,400.0
41,56,0,5,0,0,400.0
40,66,15,5,0,0,400.0
39,38,5,5,0,0,400.0
39,32,10,5,0,0,400.0
39,14,15,5,0,0,400.0
39,10,30,5,0,0,400.0
37,77,15,5,0,0,400.0
37,57,20,5,0,0,400.0
37,11,5,5,0,0,400.0
35,56,5,5,0,0,400.0
33,72,10,5,0,0,400.0
33,60,15,5,0,0,400.0
33,58,30,5,0,0,400.0
33,31,25,5,0,0,400.0
32,85,20,5,0,0,400.0
32,55,40,5,0,0,400.0
30,31,5,5,0,0,400.0
30,17,0,5,0,0,400.0
30,0,10,5,0,0,400.0
28,97,15,5,0,0,400.0
28,90,35,5,0,0,400.0
28,43,5,5,0,0,400.0
28,32,0,5,0,0,400.0
27,96,30,5,0,0,400.0
27,75,20,5,0,0,400.0
27,59,15,5,0,0,400.0
26,82,30,5,0,0,400.0
26,27,0,5,0,0,400.0
25,91,10,5,0,0,400.0
25,72,15,5,0,0,400.0
25,51,25,5,0,0,400.0
25,49,30,5,0,0,400.0
25,42,0,5,0,0,400.0
25,21,35,5,0,0,400.0
25,11,40,5,0,0,400.0
22,91,5,5,0,0,400.0
22,60,20,5,0,0,400.0
22,36,10,5,0,0,400.0
22,12,15,5,0,0,400.0
22,5,25,5,0,0,400.0
21,65,5,5,0,0,400.0
21,0,0,5,0,0,400.0
20,81,20,5,0,0,400.0
20,72,5,5,0,0,400.0
20,65,25,5,0,0,400.0
20,46,35,5,0,0,400.0
20,39,40,5,0,0,400.0
20,32,30,5,0,0,400.0
20,31,45,5,0,0,400.0
20,21,50,5,0,0,400.0
19,18,10,5,0,0,400.0
18,63,25,5,0,0,400.0
18,59,30,5,0,0,400.0
18,26,40,5,0,0,400.0
16,9,5,5,0,0,400.0
15,95,10,5,0,0,400.0
15,41,5,5,0,0,400.0
15,12,0,5,0,0,400.0
15,9,15,5,0,0,400.0
15,2,20,5,0,0,400.0
14,91,20,5,0,0,400.0
14,70,10,5,0,0,400.0
14,40,0,5,0,0,400.0
14,31,30,5,0,0,400.0
14,25,45,5,0,0,400.0
14,16,25,5,0,0,400.0
13,50,10,5,0,0,400.0
13,41,20,5,0,0,400.0
12,83,25,5,0,0,400.0
12,48,20,5,0,0,400.0
12,47,30,5,0,0,400.0
12,23,5,5,0,0,400.0
12,8,10,5,0,0,400.0
12,3,35,5,0,0,400.0
9,69,20,5,0,0,400.0
8,89,35,5,0,0,400.0
8,58,5,5,0,0,400.0
8,38,15,5,0,0,400.0
7,92,0,5,0,0,400.0
7,67,15,5,0,0,400.0
7,47,35,5,0,0,400.0
7,33,40,5,0,0,400.0
7,29,25,5,0,0,400.0
7,2,10,5,0,0,400.0
6,96,35,5,0,0,400.0
6,81,40,5,0,0,400.0
6,24,0,5,0,0,400.0
6,9,50,5,0,0,400.0
5,76,10,5,0,0,400.0
5,7,20,5,0,0,400.0
4,91,15,5,0,0,400.0
4,54,0,5,0,0,400.0
4,7,30,5,0,0,400.0
3,82,40,5,0,0,400.0
3,80,20,5,0,0,400.0
3,68,5,5,0,0,400.0
2,74,15,5,0,0,400.0
2,71,30,5,0,0,400.0
2,24,35,5,0,0,400.0
1,71,35,5,0,0,400.0
0,48,35,5,0,0,400.0
99,97,25,2,0,0,50.0
99,88,27,2,0,0,50.0
99,79,29,2,0,0,50.0
99,78,31,2,0,0,50.0
99,77,33,2,0,0,50.0
99,67,35,2,0,0,50.0
99,66,37,2,0,0,50.0
99,65,39,2,0,0,50.0
99,62,41,2,0,0,50.0
99,54,43,2,0,0,50.0
99,49,45,2,0,0,50.0
99,39,47,2,0,0,50.0
99,34,49,2,0,0,50.0
99,31,51,2,0,0,50.0
99,23,53,2,0,0,50.0
99,19,55,2,0,0,50.0
99,13,57,2,0,0,50.0
99,10,59,2,0,0,50.0
98,99,61,2,0,0,50.0
98,97,20,2,0,0,50.0
98,78,15,2,0,0,50.0
98,74,22,2,0,0,50.0
98,73,30,2,0,0,50.0
98,68,24,2,0,0,50.0
98,57,26,2,0,0,50.0
98,56,28,2,0,0,50.0
98,43,32,2,0,0,50.0
98,35,17,2,0,0,50.0
98,32,35,2,0,0,50.0
98,30,37,2,0,0,50.0
98,24,40,2,0,0,50.0
98,23,42,2,0,0,50.0
98,17,44,2,0,0,50.0
98,13,46,2,0,0,50.0
98,11,48,2,0,0,50.0
98,10,50,2,0,0,50.0
98,8,52,2,0,0,50.0
97,99,63,2,0,0,50.0
97,98,54,2,0,0,50.0
97,90,40,2,0,0,50.0
97,84,42,2,0,0,50.0
97,83,35,2,0,0,50.0
97,68,22,2,0,0,50.0
97,61,27,2,0,0,50.0
97,58,37,2,0,0,50.0
97,41,29,2,0,0,50.0
97,40,31,2,0,0,50.0
97,39,45,2,0,0,50.0
97,35,33,2,0,0,50.0
97,28,47,2,0,0,50.0
97,23,49,2,0,0,50.0
97,11,51,2,0,0,50.0
97,10,56,2,0,0,50.0
97,6,58,2,0,0,50.0
97,1,60,2,0,0,50.0
97,0,65,2,0,0,50.0
96,88,40,2,0,0,50.0
96,72,42,2,0,0,50.0
96,58,44,2,0,0,50.0
96,54,46,2,0,0,50.0
96,43,48,2,0,0,50.0
96,42,50,2,0,0,50.0
96,31,53,2,0,0,50.0
96,23,55,2,0,0,50.0
96,0,57,2,0,0,50.0
95,88,25,2,0,0,50.0
95,77,27,2,0,0,50.0
95,74,20,2,0,0,50.0
95,65,15,2,0,0,50.0
95,59,35,2,0,0,50.0
95,56,22,2,0,0,50.0
95,48,17,2,0,0,50.0
95,36,29,2,0,0,50.0
95,34,31,2,0,0,50.0
95,30,33,2,0,0,50.0
95,18,45,2,0,0,50.0
95,16,37,2,0,0,50.0
95,9,39,2,0,0,50.0
94,95,47,2,0,0,50.0
94,89,45,2,0,0,50.0
94,84,49,2,0,0,50.0
94,83,51,2,0,0,50.0
94,69,53,2,0,0,50.0
94,67,55,2,0,0,50.0
94,66,57,2,0,0,50.0
94,59,59,2,0,0,50.0
94,46,61,2,0,0,50.0
94,42,63,2,0,0,50.0
94,37,65,2,0,0,50.0
94,29,67,2,0,0,50.0
94,0,69,2,0,0,50.0
93,98,56,2,0,0,50.0
93,90,42,2,0,0,50.0
93,71,40,2,0,0,50.0
93,67,25,2,0,0,50.0
93,66,20,2,0,0,50.0
93,63,30,2,0,0,50.0
93,54,10,2,0,0,50.0
93,51,32,2,0,0,50.0
93,32,27,2,0,0,50.0
93,29,15,2,0,0,50.0
93,11,12,2,0,0,50.0
93,3,45,2,0,0,50.0
92,58,15,2,0,0,50.0
92,51,30,2,0,0,50.0
91,98,58,2,0,0,50.0
91,96,60,2,0,0,50.0
91,88,35,2,0,0,50.0
91,79,25,2,0,0,50.0
91,72,27,2,0,0,50.0
91,54,29,2,0,0,50.0
91,43,37,2,0,0,50.0
91,36,31,2,0,0,50.0
91,26,45,2,0,0,50.0
91,24,33,2,0,0,50.0
91,22,39,2,0,0,50.0
91,17,41,2,0,0,50.0
91,16,43,2,0,0,50.0
91,10,47,2,0,0,50.0
91,3,49,2,0,0,50.0
91,1,51,2,0,0,50.0
90,87,44,2,0,0,50.0
90,79,46,2,0,0,50.0
90,78,48,2,0,0,50.0
90,72,50,2,0,0,50.0
90,62,52,2,0,0,50.0
90,54,54,2,0,0,50.0
90,52,56,2,0,0,50.0
90,31,58,2,0,0,50.0
90,29,60,2,0,0,50.0
90,19,62,2,0,0,50.0
90,17,64,2,0,0,50.0
90,10,66,2,0,0,50.0
90,9,68,2,0,0,50.0
89,92,40,2,0,0,50.0
89,88,42,2,0,0,50.0
89,80,47,2,0,0,50.0
89,65,49,2,0,0,50.0
89,46,51,2,0,0,50.0
89,43,53,2,0,0,50.0
89,36,55,2,0,0,50.0
89,30,57,2,0,0,50.0
89,24,59,2,0,0,50.0
89,23,61,2,0,0,50.0
89,19,64,2,0,0,50.0
89,10,68,2,0,0,50.0
89,4,66,2,0,0,50.0
88,75,37,2,0,0,50.0
88,73,44,2,0,0,50.0
88,61,46,2,0,0,50.0
88,59,48,2,0,0,50.0
88,45,50,2,0,0,50.0
88,35,52,2,0,0,50.0
88,21,55,2,0,0,50.0
88,16,57,2,0,0,50.0
88,10,61,2,0,0,50.0
88,5,59,2,0,0,50.0
88,0,63,2,0,0,50.0
87,98,63,2,0,0,50.0
87,81,30,2,0,0,50.0
87,74,24,2,0,0,50.0
87,68,10,2,0,0,50.0
87,56,20,2,0,0,50.0
87,36,15,2,0,0,50.0
87,25,50,2,0,0,50.0
87,23,12,2,0,0,50.0
87,18,22,2,0,0,50.0
87,0,40,2,0,0,50.0
86,87,26,2,0,0,50.0
86,77,29,2,0,0,50.0
86,74,35,2,0,0,50.0
